"",ML1,ML2
Hepatic_steatosis_and_other_liver_diseases,0,0.734
Alcohol-related_disorders,0,0.682
Adictions,0,0.659
Hepatitis,0,0.575
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.553
Depression_and_Mood_disorders,0.33,0.419
Anxiety_disorders,0.43,0.332
Acquired_foot_deformities,0,0
Adjustment_disorders,0,0
Allergic_rhinitis,0.361,0
Asthma,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0
Diabetes,0.457,0
Disorders_of_lipid_metabolism,0.589,0
Esophageal_disorders,0,0
Headache__including_migraine,0.546,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0
Hypertension,0.447,0
Menopausal_disorders,0.48,0
Menstrual_disorders,0.379,0
Miscellaneous_mental_health_disorders,0.464,0
Neoplasms,0,0
Neuropathy_and_other_nervous_system_disorders,0,0
Obesity,0.463,0
Osteoarthritis,0.439,0
Osteoporosis,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.385,0
Thyroid_disorders,0.396,0
Urinary_incontinence,0.413,0
Vision_defects,0.337,0
