"",ML3,ML7,ML1,ML6,ML8,ML2,ML9,ML5,ML10,ML4
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0.923,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0.37,0,0,0.304,0,0,0,0,0
Asthma,0,0.324,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0.975,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0.45,0,0,0,0,0,0,0
Adictions,0,0,0,0.992,0,0,0,0,0,0
Hepatitis,0,0,0,0.438,0,0,0,0,0,0
Neoplasms,0,0,0,0,0.587,0,0,0,0,0
Diabetes,0,0,0,0,0.512,0,0,0,0,0
Osteoporosis,0,0,0,0,0.469,0,0,0,0,0
Hypertension,0,0,0,0,0.443,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0.315,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.987,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0.36,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0.657,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0.546,0,0,0
Headache__including_migraine,0.336,0,0,0,0,0,0.405,0,0,0
Menstrual_disorders,0,0,0,0,0,0,0.383,0,0,0
Obesity,0.315,0,0,0,0,0,0.313,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0.949,0,0
Vision_defects,0,0,0,0,0,0,0,0,0.668,0
Adjustment_disorders,0,0,0,0,0,0,0,0,0.481,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0.987
Osteoarthritis,0,0,0,0,0,0,0,0,0,0.307
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.986,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0,0,0,0,0,0,0,0,0,0
