"",ML7,ML6,ML1,ML4,ML5,ML3,ML2
Hepatic_steatosis_and_other_liver_diseases,0,0.927,0,0,0,0,0
Alcohol-related_disorders,0,0.526,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.518,0,0,0,0,0
Adictions,0,0.333,0,0,0,0,0
Hepatitis,0,0.331,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.935,0,0,0,0
Hypertension,0,0,0.584,0,0,0,0
Neoplasms,0,0,0.361,0,0,0,0
Obesity,0.366,0,0.35,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.977,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.979,0,0
Osteoarthritis,0,0,0,0,0.31,0,0
Glaucoma,0,0,0,0,0,0.985,0
Acquired_foot_deformities,0,0,0,0,0,0,0.966
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.424,0,0,0,0,0,0.368
Adjustment_disorders,0.434,0,0,0,0,0,0
Allergic_rhinitis,0.305,0,0,0,0,0,0
Anxiety_disorders,0.52,0,0,0,0,0,0
Asthma,0.33,0,0,0,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.427,0,0,0,0,0,0
Depression_and_Mood_disorders,0.45,0,0,0,0,0,0
Diabetes,0.342,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.423,0,0,0,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0
Headache__including_migraine,0.483,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Menopausal_disorders,0.457,0,0,0,0,0,0
Menstrual_disorders,0.349,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.366,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.331,0,0,0,0,0,0
Nonmalignant_breast_conditions,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0
Thyroid_disorders,0.418,0,0,0,0,0,0
Urinary_incontinence,0.411,0,0,0,0,0,0
Vision_defects,0.349,0,0,0,0,0,0
