"",ML11,ML10,ML1,ML8,ML7,ML5,ML2,ML3,ML6,ML9,ML4
Congestive_heart_failure__nonhypertensive,0,0.887,0,0,0,0,0,0,0,0,0
Hypertension,0,0.583,0,0,0,0,0,0,0,0,0
Asthma,0,0.394,0,0,0,0,0,0,0,0,0
Obesity,0,0.374,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0.898,0,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0.491,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.395,0,0,0,0,0,0,0,0
Esophageal_disorders,0.305,0,0.316,0,0,0,0,0,0,0,0
Adictions,0,0,0,0.954,0,0,0,0,0,0,0
Hepatitis,0,0,0,0.536,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.987,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0.351,0,0,0,0,0,0
Cataract,0,0,0,0,0,0.977,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0.972,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0.946,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.463,0,0,0,0,0,0,0.387,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0.994,0,0
Adjustment_disorders,0.337,0,0,0,0,0,0,0,0.312,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0,0.938,0
Menstrual_disorders,0.422,0,0,0,0,0,0,0,0,0.342,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0.971
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.478,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.499,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.388,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.399,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.397,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.394,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.454,0,0,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0.319,0,0,0,0,0,0,0,0,0,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0.37,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.349,0,0,0,0,0,0,0,0,0,0
Vision_defects,0.366,0,0,0,0,0,0,0,0,0,0
