"",ML12,ML11,ML1,ML7,ML8,ML9,ML5,ML2,ML3,ML6,ML4,ML10
Congestive_heart_failure__nonhypertensive,0,0.868,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0.578,0,0.303,0,0,0,0,0,0,0,0
Obesity,0,0.385,0,0,0,0,0,0,0,0,0,0
Asthma,0,0.363,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0.896,0,0,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0.488,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0.438,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0.312,0,0.306,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0.984,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0.334,0,0,0,0,0,0,0,0
Adictions,0,0,0,0,0.948,0,0,0,0,0,0,0
Hepatitis,0,0,0,0,0.499,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0.921,0,0,0,0,0,0
Thyroid_disorders,0.396,0,0,0,0,0.301,0,0,0,0,0,0
Cataract,0,0,0,0,0,0,0.979,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0.974,0,0,0,0
Acquired_foot_deformities,0,0,0,0,0,0,0,0,0.947,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.465,0,0,0,0,0,0,0,0.389,0,0,0
Atopic_dermatitis,0,0,0,0,0,0,0,0,0,1.001,0,0
Adjustment_disorders,0.32,0,0,0,0,0,0,0,0,0.303,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0.951,0
Osteoporosis,0,0,0,0,0,0,0,0,0,0,0.35,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0,0,0,0.926
Menstrual_disorders,0.405,0,0,0,0,0,0,0,0,0,0,0.365
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.473,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.512,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.408,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.406,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0.382,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Menopausal_disorders,0.386,0,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.461,0,0,0,0,0,0,0,0,0,0,0
Nonmalignant_breast_conditions,0.313,0,0,0,0,0,0,0,0,0,0,0
Urinary_incontinence,0.322,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0.371,0,0,0,0,0,0,0,0,0,0,0
