ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,41,24,17,2658,1765,893,1.4,0.748,2.619,0.293,FALSE
Acute_cerebrovascular_disease,148,88,60,2551,1701,850,1.364,0.973,1.914,0.072,FALSE
Adictions,10,3,7,2689,1786,903,4.615,1.191,17.889,0.027,TRUE
Adjustment_disorders,40,28,12,2659,1761,898,0.84,0.425,1.661,0.617,FALSE
Alcohol-related_disorders,109,66,43,2590,1723,867,1.295,0.874,1.917,0.197,FALSE
Allergic_rhinitis,147,104,43,2552,1685,867,0.804,0.558,1.157,0.24,FALSE
Anxiety_disorders,346,223,123,2353,1566,787,1.098,0.867,1.39,0.44,FALSE
Aortic__peripheral__and_visceral_artery_aneurysms,33,20,13,2666,1769,897,1.282,0.635,2.589,0.489,FALSE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,7,4,3,2692,1785,907,1.476,0.33,6.609,0.611,FALSE
Asthma,69,42,27,2630,1747,883,1.272,0.779,2.077,0.336,FALSE
Atopic_dermatitis,33,19,14,2666,1770,896,1.456,0.726,2.917,0.29,FALSE
Attention-deficit__conduct__and_disruptive_behavior_disorders,23,13,10,2676,1776,900,1.518,0.663,3.475,0.323,FALSE
Biliary_tract_disease,8,3,5,2691,1786,905,3.289,0.784,13.794,0.104,FALSE
Cardiac_dysrhythmias,301,184,117,2398,1605,793,1.287,1.005,1.647,0.045,TRUE
Cataract,439,277,162,2260,1512,748,1.182,0.956,1.462,0.123,FALSE
Chronic_kidney_disease,259,155,104,2440,1634,806,1.36,1.046,1.768,0.022,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,292,169,123,2407,1620,787,1.498,1.17,1.919,0.001,TRUE
Chronic_ulcer_of_skin,138,93,45,2561,1696,865,0.949,0.658,1.367,0.778,FALSE
Coagulation_and_hemorrhagic_disorders,192,121,71,2507,1668,839,1.167,0.86,1.582,0.321,FALSE
Conduction_disorders,60,47,13,2639,1742,897,0.537,0.289,0.998,0.049,TRUE
Congestive_heart_failure__nonhypertensive,194,88,106,2505,1701,804,2.548,1.898,3.422,0,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,5,2,3,2694,1787,907,2.955,0.493,17.717,0.236,FALSE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,229,141,88,2470,1648,822,1.251,0.947,1.654,0.115,FALSE
Depression_and_Mood_disorders,326,183,143,2373,1606,767,1.636,1.293,2.07,0,TRUE
Developmental_disorders,11,9,2,2688,1780,908,0.436,0.094,2.02,0.288,FALSE
Diabetes,659,413,246,2040,1376,664,1.234,1.028,1.482,0.024,TRUE
Diseases_of_white_blood_cells,32,19,13,2667,1770,897,1.35,0.664,2.746,0.407,FALSE
Disorders_of_lipid_metabolism,1046,691,355,1653,1098,555,1.016,0.863,1.197,0.846,FALSE
Diverticulosis_and_diverticulitis,82,51,31,2617,1738,879,1.202,0.764,1.892,0.427,FALSE
Epilepsy__convulsions,45,27,18,2654,1762,892,1.317,0.721,2.404,0.37,FALSE
Esophageal_disorders,108,71,37,2591,1718,873,1.026,0.684,1.539,0.903,FALSE
Glaucoma,201,143,58,2498,1646,852,0.784,0.571,1.075,0.131,FALSE
Gout,216,147,69,2483,1642,841,0.916,0.68,1.234,0.566,FALSE
HIV-related_disease,2,1,1,2697,1788,909,1.967,0.123,31.483,0.633,FALSE
Headache__including_migraine,229,141,88,2470,1648,822,1.251,0.947,1.654,0.115,FALSE
