ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,20,13,7,2679,1776,903,1.059,0.421,2.663,0.903,FALSE
Acute_cerebrovascular_disease,74,51,23,2625,1738,887,0.884,0.537,1.455,0.627,FALSE
Adictions,5,2,3,2694,1787,907,2.955,0.493,17.717,0.236,FALSE
Adjustment_disorders,29,19,10,2670,1770,900,1.035,0.479,2.235,0.93,FALSE
Alcohol-related_disorders,33,23,10,2666,1766,900,0.853,0.404,1.8,0.677,FALSE
Allergic_rhinitis,66,52,14,2633,1737,896,0.522,0.288,0.947,0.032,TRUE
Anxiety_disorders,150,110,40,2549,1679,870,0.702,0.484,1.017,0.061,FALSE
Aortic__peripheral__and_visceral_artery_aneurysms,16,9,7,2683,1780,903,1.533,0.569,4.13,0.398,FALSE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,4,3,1,2695,1786,909,0.655,0.068,6.305,0.714,FALSE
Asthma,24,15,9,2675,1774,901,1.181,0.515,2.71,0.694,FALSE
Atopic_dermatitis,10,8,2,2689,1781,908,0.49,0.104,2.313,0.368,FALSE
Attention-deficit__conduct__and_disruptive_behavior_disorders,8,5,3,2691,1784,907,1.18,0.281,4.949,0.821,FALSE
Cardiac_dysrhythmias,155,102,53,2544,1687,857,1.023,0.727,1.44,0.897,FALSE
Cataract,221,153,68,2478,1636,842,0.864,0.641,1.163,0.334,FALSE
Chronic_kidney_disease,172,109,63,2527,1680,847,1.146,0.832,1.58,0.404,FALSE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,111,66,45,2588,1723,865,1.358,0.922,2.001,0.122,FALSE
Chronic_ulcer_of_skin,98,67,31,2601,1722,879,0.906,0.588,1.398,0.657,FALSE
Coagulation_and_hemorrhagic_disorders,91,60,31,2608,1729,879,1.016,0.654,1.58,0.943,FALSE
Conduction_disorders,27,24,3,2672,1765,907,0.243,0.073,0.81,0.021,TRUE
Congestive_heart_failure__nonhypertensive,124,58,66,2575,1731,844,2.334,1.625,3.353,0,TRUE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,131,89,42,2568,1700,868,0.924,0.635,1.346,0.681,FALSE
Depression_and_Mood_disorders,133,78,55,2566,1711,855,1.411,0.99,2.012,0.057,FALSE
Diabetes,220,140,80,2479,1649,830,1.135,0.852,1.513,0.386,FALSE
Diseases_of_white_blood_cells,16,14,2,2683,1775,908,0.279,0.063,1.231,0.092,FALSE
Disorders_of_lipid_metabolism,351,242,109,2348,1547,801,0.87,0.683,1.108,0.258,FALSE
Diverticulosis_and_diverticulitis,35,26,9,2664,1763,901,0.677,0.316,1.452,0.316,FALSE
Epilepsy__convulsions,21,8,13,2678,1781,897,3.226,1.332,7.813,0.009,TRUE
Esophageal_disorders,49,39,10,2650,1750,900,0.499,0.248,1.003,0.051,FALSE
Glaucoma,72,56,16,2627,1733,894,0.554,0.316,0.971,0.039,TRUE
Gout,73,53,20,2626,1736,890,0.736,0.437,1.239,0.249,FALSE
Headache__including_migraine,88,62,26,2611,1727,884,0.819,0.515,1.304,0.401,FALSE
Hearing_loss_and_other_ear_and_sense_organ_disorders,128,89,39,2571,1700,871,0.855,0.582,1.257,0.426,FALSE
Heart_valve_disorders,38,21,17,2661,1768,893,1.603,0.841,3.053,0.151,FALSE
Hepatic_steatosis_and_other_liver_diseases,59,35,24,2640,1754,886,1.357,0.803,2.296,0.254,FALSE
Hepatitis,14,1,13,2685,1788,897,25.913,3.385,198.397,0.002,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,8,4,4,2691,1785,906,1.97,0.492,7.896,0.338,FALSE
Hyperplasia_of_prostate,174,125,49,2525,1664,861,0.758,0.539,1.065,0.11,FALSE
Hypertension,404,301,103,2295,1488,807,0.631,0.497,0.802,0,TRUE
Immunity_disorders,7,4,3,2692,1785,907,1.476,0.33,6.609,0.611,FALSE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,4,1,3,2695,1788,907,5.914,0.614,56.934,0.124,FALSE
Inflammatory_conditions_of_male_genital_organs,52,34,18,2647,1755,892,1.042,0.585,1.855,0.89,FALSE
Irritable_bowel_and_other_GI_disorders,21,15,6,2678,1774,904,0.785,0.304,2.03,0.617,FALSE
Ischemic_heart_disease,120,63,57,2579,1726,853,1.831,1.268,2.644,0.001,TRUE
Miscellaneous_mental_health_disorders,26,19,7,2673,1770,903,0.722,0.302,1.724,0.463,FALSE
Myodesopsia_and_other_eye_disorders,44,31,13,2655,1758,897,0.822,0.428,1.578,0.556,FALSE
Neoplasms,162,104,58,2537,1685,852,1.103,0.792,1.537,0.562,FALSE
Nervous_system_congenital_anomalies,4,1,3,2695,1788,907,5.914,0.614,56.934,0.124,FALSE
Neuropathy_and_other_nervous_system_disorders,45,30,15,2654,1759,895,0.983,0.526,1.836,0.956,FALSE
Nutritional_deficiencies,5,3,2,2694,1786,908,1.311,0.219,7.862,0.767,FALSE
Obesity,82,68,14,2617,1721,896,0.395,0.221,0.707,0.002,TRUE
Obstructive_Sleep_apnea,27,24,3,2672,1765,907,0.243,0.073,0.81,0.021,TRUE
Osteoarthritis,180,127,53,2519,1662,857,0.809,0.581,1.127,0.21,FALSE
Osteoporosis,33,19,14,2666,1770,896,1.456,0.726,2.917,0.29,FALSE
Other_acquired_deformities,6,5,1,2693,1784,909,0.393,0.046,3.364,0.394,FALSE
Other_and_ill-defined_heart_disease,6,5,1,2693,1784,909,0.393,0.046,3.364,0.394,FALSE
Other_bone_disease_and_musculoskeletal_deformities,2,1,1,2697,1788,909,1.967,0.123,31.483,0.633,FALSE
Other_circulatory_disease,24,19,5,2675,1770,905,0.515,0.192,1.383,0.188,FALSE
Other_congenital_anomalies,3,1,2,2696,1788,908,3.938,0.357,43.49,0.263,FALSE
Other_diseases_of_bladder_and_urethra,3,2,1,2696,1787,909,0.983,0.089,10.853,0.989,FALSE
Other_diseases_of_veins_and_lymphatics,6,4,2,2693,1785,908,0.983,0.18,5.377,0.984,FALSE
Other_hematologic_conditions,12,2,10,2687,1787,900,9.928,2.171,45.403,0.003,TRUE
Other_infections__including_parasitic,3,1,2,2696,1788,908,3.938,0.357,43.49,0.263,FALSE
Other_lower_respiratory_disease,5,3,2,2694,1786,908,1.311,0.219,7.862,0.767,FALSE
Other_male_genital_disorders,55,33,22,2644,1756,888,1.318,0.764,2.275,0.321,FALSE
Other_microcrystalline_arthritis,4,2,2,2695,1787,908,1.968,0.277,13.994,0.499,FALSE
Other_non-traumatic_joint_disorders,32,22,10,2667,1767,900,0.892,0.421,1.893,0.767,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,29,23,6,2670,1766,904,0.51,0.207,1.256,0.143,FALSE
Pancreatic_disorders__not_diabetes_,11,8,3,2688,1781,907,0.736,0.195,2.782,0.652,FALSE
Paralysis,15,11,4,2684,1778,906,0.714,0.227,2.247,0.564,FALSE
Parkinson_s_disease,19,16,3,2680,1773,907,0.367,0.107,1.261,0.111,FALSE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,20,14,6,2679,1775,904,0.841,0.322,2.197,0.724,FALSE
Peripheral_and_visceral_atherosclerosis,61,30,31,2638,1759,879,2.068,1.244,3.438,0.005,TRUE
Personality_disorders,6,4,2,2693,1785,908,0.983,0.18,5.377,0.984,FALSE
Psoriasis_and_other_inflammatory,29,20,9,2670,1769,901,0.884,0.401,1.948,0.759,FALSE
Pulmonary_heart_disease,3,1,2,2696,1788,908,3.938,0.357,43.49,0.263,FALSE
Regional_enteritis_and_ulcerative_colitis,8,6,2,2691,1783,908,0.655,0.132,3.248,0.604,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,11,7,4,2688,1782,906,1.124,0.328,3.849,0.852,FALSE
