ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,93,60,33,8803,5810,2993,1.068,0.697,1.636,0.764,FALSE
Acute_cerebrovascular_disease,113,51,62,8783,5819,2964,2.387,1.643,3.466,0,TRUE
Adictions,391,72,319,8505,5798,2707,9.49,7.319,12.304,0,TRUE
Adjustment_disorders,103,61,42,8793,5809,2984,1.34,0.903,1.991,0.147,FALSE
Alcohol-related_disorders,391,221,170,8505,5649,2856,1.521,1.24,1.868,0,TRUE
Allergic_rhinitis,638,439,199,8258,5431,2827,0.871,0.732,1.036,0.118,FALSE
Anxiety_disorders,1517,879,638,7379,4991,2388,1.517,1.355,1.698,0,TRUE
Aortic__peripheral__and_visceral_artery_aneurysms,17,9,8,8879,5861,3018,1.726,0.665,4.479,0.262,FALSE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,6,2,4,8890,5868,3022,3.884,0.711,21.211,0.117,FALSE
Asthma,309,199,110,8587,5671,2916,1.075,0.848,1.363,0.55,FALSE
Atopic_dermatitis,119,60,59,8777,5810,2967,1.926,1.341,2.766,0,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,54,26,28,8842,5844,2998,2.099,1.229,3.587,0.007,TRUE
Biliary_tract_disease,6,2,4,8890,5868,3022,3.884,0.711,21.211,0.117,FALSE
Cardiac_and_circulatory_congenital_anomalies,8,3,5,8888,5867,3021,3.237,0.773,13.553,0.108,FALSE
Cardiac_dysrhythmias,181,128,53,8715,5742,2973,0.8,0.579,1.105,0.175,FALSE
Cataract,152,98,54,8744,5772,2972,1.07,0.765,1.496,0.692,FALSE
Chronic_kidney_disease,119,58,61,8777,5812,2965,2.062,1.435,2.961,0,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,251,117,134,8645,5753,2892,2.278,1.771,2.931,0,TRUE
Chronic_ulcer_of_skin,108,48,60,8788,5822,2966,2.454,1.674,3.595,0,TRUE
Coagulation_and_hemorrhagic_disorders,163,69,94,8733,5801,2932,2.695,1.969,3.689,0,TRUE
Conduction_disorders,66,49,17,8830,5821,3009,0.671,0.386,1.167,0.158,FALSE
Congestive_heart_failure__nonhypertensive,131,32,99,8765,5838,2927,6.171,4.132,9.215,0,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,10,6,4,8886,5864,3022,1.294,0.365,4.587,0.69,FALSE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,155,84,71,8741,5786,2955,1.655,1.203,2.277,0.002,TRUE
Depression_and_Mood_disorders,1037,526,511,7859,5344,2515,2.064,1.811,2.352,0,TRUE
Developmental_disorders,23,21,2,8873,5849,3024,0.184,0.043,0.786,0.022,TRUE
Diabetes,697,461,236,8199,5409,2790,0.992,0.843,1.169,0.928,FALSE
Diseases_of_white_blood_cells,127,91,36,8769,5779,2990,0.765,0.519,1.128,0.176,FALSE
Disorders_of_lipid_metabolism,2388,1687,701,6508,4183,2325,0.748,0.675,0.828,0,TRUE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,14,11,3,8882,5859,3023,0.529,0.147,1.896,0.328,FALSE
Diverticulosis_and_diverticulitis,82,60,22,8814,5810,3004,0.709,0.434,1.158,0.17,FALSE
Dyspareunia,7,4,3,8889,5866,3023,1.455,0.326,6.507,0.623,FALSE
Eating_disorders,11,5,6,8885,5865,3020,2.33,0.711,7.641,0.163,FALSE
Epilepsy__convulsions,133,64,69,8763,5806,2957,2.117,1.502,2.983,0,TRUE
Escleritis,10,7,3,8886,5863,3023,0.831,0.215,3.216,0.789,FALSE
Esophageal_disorders,280,189,91,8616,5681,2935,0.932,0.723,1.201,0.587,FALSE
Female_infertility,10,5,5,8886,5865,3021,1.941,0.562,6.71,0.294,FALSE
Glaucoma,173,120,53,8723,5750,2973,0.854,0.616,1.184,0.344,FALSE
Gout,229,164,65,8667,5706,2961,0.764,0.571,1.021,0.069,FALSE
HIV-related_disease,2,1,1,8894,5869,3025,1.94,0.121,31.028,0.639,FALSE
Headache__including_migraine,974,617,357,7922,5253,2669,1.139,0.992,1.308,0.066,FALSE
Hearing_loss_and_other_ear_and_sense_organ_disorders,481,317,164,8415,5553,2862,1.004,0.827,1.219,0.969,FALSE
Heart_valve_disorders,39,16,23,8857,5854,3003,2.802,1.478,5.312,0.002,TRUE
Hepatic_steatosis_and_other_liver_diseases,249,126,123,8647,5744,2903,1.932,1.501,2.486,0,TRUE
Hepatitis,626,99,527,8270,5771,2499,12.293,9.868,15.314,0,TRUE
