ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Malaise_and_fatigue,6,4,2,16040,10612,5428,0.977,0.179,5.336,0.979,1.032,0.98,1.088,0.229,FALSE,FALSE
Menieres_disease,13,10,3,16033,10606,5427,0.586,0.161,2.132,0.418,1.05,1.013,1.087,0.007,FALSE,TRUE
Menstrual_disorders,10,8,2,16036,10608,5428,0.49,0.104,2.31,0.367,0.949,0.916,0.982,0.003,FALSE,TRUE
Miscellaneous_mental_health_disorders,408,272,136,15638,10344,5294,0.977,0.793,1.204,0.829,0.993,0.987,1,0.039,FALSE,TRUE
Multiple_sclerosis,14,8,6,16032,10608,5424,1.468,0.509,4.232,0.478,0.991,0.959,1.024,0.576,FALSE,FALSE
Myodesopsia_and_other_eye_disorders,205,137,68,15841,10479,5362,0.969,0.723,1.299,0.835,1.026,1.017,1.036,0,FALSE,TRUE
Neoplasms,610,329,281,15436,10287,5149,1.767,1.494,2.09,0,1.072,1.066,1.078,0,TRUE,TRUE
Nephritis__nephrosis__renal_sclerosis,13,6,7,16033,10610,5423,2.282,0.766,6.794,0.138,1.033,0.997,1.071,0.069,FALSE,FALSE
Nervous_system_congenital_anomalies,16,9,7,16030,10607,5423,1.522,0.567,4.089,0.405,0.992,0.961,1.023,0.589,FALSE,FALSE
Neuropathy_and_other_nervous_system_disorders,399,238,161,15647,10378,5269,1.333,1.088,1.633,0.006,1.023,1.017,1.03,0,TRUE,TRUE
Nonmalignant_breast_conditions,2,1,1,16044,10615,5429,1.959,0.123,31.341,0.634,1.069,0.977,1.171,0.145,FALSE,FALSE
Nutritional_deficiencies,17,4,13,16029,10612,5417,6.367,2.075,19.538,0.001,1.033,1.002,1.066,0.038,TRUE,TRUE
Obesity,1074,809,265,14972,9807,5165,0.62,0.537,0.715,0,1.021,1.017,1.026,0,TRUE,TRUE
Obstructive_Sleep_apnea,330,235,95,15716,10381,5335,0.785,0.617,0.999,0.049,1.038,1.03,1.045,0,TRUE,TRUE
Osteoarthritis,769,513,256,15277,10103,5174,0.974,0.83,1.143,0.746,1.076,1.07,1.082,0,FALSE,TRUE
Osteoporosis,129,63,66,15917,10553,5364,2.088,1.472,2.962,0,1.071,1.058,1.083,0,TRUE,TRUE
Other_CNS_infection_and_poliomyelitis,11,7,4,16035,10609,5426,1.117,0.327,3.817,0.86,1.035,0.996,1.076,0.077,FALSE,FALSE
Other_acquired_deformities,184,122,62,15862,10494,5368,0.996,0.732,1.356,0.981,0.961,0.953,0.969,0,FALSE,TRUE
Other_and_ill-defined_cerebrovascular_disease,14,8,6,16032,10608,5424,1.468,0.509,4.236,0.477,1.055,1.02,1.092,0.002,FALSE,TRUE
Other_and_ill-defined_heart_disease,49,29,20,15997,10587,5410,1.349,0.763,2.387,0.304,1.008,0.99,1.026,0.4,FALSE,FALSE
Other_bone_disease_and_musculoskeletal_deformities,88,59,29,15958,10557,5401,0.962,0.616,1.502,0.864,0.982,0.969,0.995,0.006,FALSE,TRUE
Other_circulatory_disease,126,70,56,15920,10546,5374,1.573,1.104,2.241,0.012,1.046,1.034,1.058,0,TRUE,TRUE
Other_congenital_anomalies,107,64,43,15939,10552,5387,1.322,0.896,1.951,0.159,0.957,0.946,0.967,0,FALSE,TRUE
Other_diseases_of_bladder_and_urethra,21,14,7,16025,10602,5423,0.978,0.394,2.425,0.961,1.049,1.02,1.079,0.001,FALSE,TRUE
Other_diseases_of_veins_and_lymphatics,19,10,9,16027,10606,5421,1.763,0.716,4.343,0.218,1.053,1.023,1.084,0.001,FALSE,TRUE
Other_hematologic_conditions,29,2,27,16017,10614,5403,26.736,6.352,112.529,0,1.064,1.039,1.09,0,TRUE,TRUE
Other_infections__including_parasitic,12,9,3,16034,10607,5427,0.651,0.176,2.406,0.52,1.016,0.979,1.054,0.401,FALSE,FALSE
Other_lower_respiratory_disease,14,5,9,16032,10611,5421,3.552,1.188,10.622,0.023,1.088,1.05,1.126,0,TRUE,TRUE
Other_male_genital_disorders,760,396,364,15286,10220,5066,1.858,1.605,2.15,0,0.989,0.984,0.993,0,TRUE,TRUE
Other_microcrystalline_arthritis,49,31,18,15997,10585,5412,1.136,0.635,2.034,0.667,1.05,1.031,1.07,0,FALSE,TRUE
Other_non-traumatic_joint_disorders,242,147,95,15804,10469,5335,1.268,0.977,1.645,0.074,1.024,1.016,1.032,0,FALSE,TRUE
Other_nutritional__endocrine__and_metabolic_disorders,208,134,74,15838,10482,5356,1.08,0.812,1.438,0.597,1.022,1.013,1.032,0,FALSE,TRUE
Pancreatic_disorders__not_diabetes_,94,47,47,15952,10569,5383,1.965,1.309,2.95,0.001,1.035,1.021,1.049,0,TRUE,TRUE
Paralysis,86,44,42,15960,10572,5388,1.873,1.226,2.864,0.004,1.03,1.016,1.045,0,TRUE,TRUE
Parkinson_s_disease,45,32,13,16001,10584,5417,0.796,0.416,1.522,0.49,1.095,1.073,1.117,0,FALSE,TRUE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,107,63,44,15939,10553,5386,1.369,0.93,2.015,0.112,1.036,1.023,1.048,0,FALSE,TRUE
Peripheral_and_visceral_atherosclerosis,197,95,102,15849,10521,5328,2.173,1.633,2.892,0,1.078,1.067,1.088,0,TRUE,TRUE
Personality_disorders,121,54,67,15925,10562,5363,2.448,1.708,3.508,0,0.984,0.973,0.995,0.003,TRUE,TRUE
Polymyalgia_rheumatica,16,10,6,16030,10606,5424,1.185,0.428,3.278,0.744,1.123,1.083,1.164,0,FALSE,TRUE
Prolapse_of_female_genital_organs,3,1,2,16043,10615,5428,3.912,0.355,43.156,0.265,0.995,0.926,1.069,0.892,FALSE,FALSE
Psoriasis_and_other_inflammatory,479,296,183,15567,10320,5247,1.216,1.008,1.466,0.041,1.018,1.012,1.024,0,TRUE,TRUE
Pulmonary_heart_disease,10,5,5,16036,10611,5425,1.957,0.566,6.765,0.289,1.051,1.009,1.094,0.016,FALSE,TRUE
Regional_enteritis_and_ulcerative_colitis,96,56,40,15950,10560,5390,1.399,0.931,2.103,0.106,1,0.987,1.013,0.98,FALSE,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,57,29,28,15989,10587,5402,1.894,1.125,3.189,0.016,1.042,1.025,1.06,0,TRUE,TRUE
