ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,90,62,28,1094,725,369,0.887,0.558,1.411,0.613,FALSE
Acute_cerebrovascular_disease,43,26,17,1141,761,380,1.309,0.702,2.443,0.397,FALSE
Adjustment_disorders,56,33,23,1128,754,374,1.405,0.813,2.427,0.223,FALSE
Alcohol-related_disorders,13,7,6,1171,780,391,1.71,0.571,5.122,0.338,FALSE
Allergic_rhinitis,100,67,33,1084,720,364,0.974,0.63,1.506,0.907,FALSE
Anxiety_disorders,351,230,121,833,557,276,1.062,0.816,1.381,0.656,FALSE
Aortic__peripheral__and_visceral_artery_aneurysms,4,2,2,1180,785,395,1.987,0.279,14.159,0.493,FALSE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,4,2,2,1180,785,395,1.987,0.279,14.159,0.493,FALSE
Asthma,91,58,33,1093,729,364,1.139,0.73,1.779,0.566,FALSE
Atopic_dermatitis,33,31,2,1151,756,395,0.123,0.029,0.519,0.004,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,4,2,2,1180,785,395,1.987,0.279,14.159,0.493,FALSE
Cardiac_dysrhythmias,104,63,41,1080,724,356,1.324,0.876,2.001,0.184,FALSE
Cataract,279,181,98,905,606,299,1.097,0.828,1.455,0.519,FALSE
Chronic_kidney_disease,89,52,37,1095,735,360,1.453,0.936,2.256,0.096,FALSE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,49,27,22,1135,760,375,1.651,0.928,2.939,0.088,FALSE
Chronic_ulcer_of_skin,48,29,19,1136,758,378,1.314,0.727,2.374,0.366,FALSE
Coagulation_and_hemorrhagic_disorders,55,31,24,1129,756,373,1.569,0.908,2.712,0.107,FALSE
Conduction_disorders,23,19,4,1161,768,393,0.411,0.139,1.218,0.109,FALSE
Congestive_heart_failure__nonhypertensive,74,30,44,1110,757,353,3.145,1.944,5.088,0,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,2,1,1,1182,786,396,1.985,0.124,31.816,0.628,FALSE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,185,118,67,999,669,330,1.151,0.83,1.597,0.4,FALSE
Depression_and_Mood_disorders,356,232,124,828,555,273,1.087,0.836,1.412,0.534,FALSE
Developmental_disorders,3,1,2,1181,786,395,3.98,0.36,44.022,0.26,FALSE
Diabetes,218,139,79,966,648,318,1.158,0.852,1.574,0.349,FALSE
Diseases_of_white_blood_cells,22,13,9,1162,774,388,1.381,0.585,3.259,0.461,FALSE
Disorders_of_lipid_metabolism,600,407,193,584,380,204,0.883,0.694,1.125,0.314,FALSE
Diverticulosis_and_diverticulitis,55,34,21,1129,753,376,1.237,0.708,2.161,0.455,FALSE
Dyspareunia,6,4,2,1178,783,395,0.991,0.181,5.435,0.992,FALSE
Eating_disorders,5,2,3,1179,785,394,2.989,0.497,17.956,0.231,FALSE
Endometriosis,6,1,5,1178,786,392,10.026,1.167,86.104,0.036,TRUE
Epilepsy__convulsions,6,4,2,1178,783,395,0.991,0.181,5.435,0.992,FALSE
Esophageal_disorders,69,49,20,1115,738,377,0.799,0.468,1.364,0.411,FALSE
Glaucoma,113,79,34,1071,708,363,0.839,0.551,1.279,0.416,FALSE
Gout,14,10,4,1170,777,393,0.791,0.246,2.538,0.693,FALSE
HIV-related_disease,5,2,3,1179,785,394,2.989,0.497,17.956,0.231,FALSE
Headache__including_migraine,234,152,82,950,635,315,1.088,0.805,1.469,0.584,FALSE
Hearing_loss_and_other_ear_and_sense_organ_disorders,136,87,49,1048,700,348,1.133,0.78,1.645,0.512,FALSE
Heart_valve_disorders,26,18,8,1158,769,389,0.879,0.379,2.039,0.763,FALSE
Hepatic_steatosis_and_other_liver_diseases,45,23,22,1139,764,375,1.949,1.072,3.542,0.029,TRUE
Hepatitis,27,2,25,1157,785,372,26.378,6.216,111.931,0,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,17,12,5,1167,775,392,0.824,0.288,2.355,0.718,FALSE
Hypertension,614,414,200,570,373,197,0.915,0.718,1.164,0.469,FALSE
Immunity_disorders,3,2,1,1181,785,396,0.991,0.09,10.96,0.994,FALSE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,5,1,4,1179,786,393,8,0.891,71.813,0.063,FALSE
Irritable_bowel_and_other_GI_disorders,39,23,16,1145,764,381,1.395,0.728,2.672,0.315,FALSE
