ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Acquired_foot_deformities,231,158,73,24360,16131,8229,0.905,0.685,1.196,0.483,1.031,1.022,1.039,0,FALSE,TRUE
Acute_cerebrovascular_disease,197,109,88,24394,16180,8214,1.601,1.205,2.127,0.001,1.064,1.055,1.074,0,TRUE,TRUE
Adictions,286,62,224,24305,16227,8078,7.258,5.472,9.628,0,0.998,0.991,1.005,0.613,TRUE,FALSE
Adjustment_disorders,289,171,118,24302,16118,8184,1.359,1.073,1.721,0.011,1.013,1.006,1.021,0.001,TRUE,TRUE
Alcohol-related_disorders,315,182,133,24276,16107,8169,1.441,1.15,1.804,0.001,1.014,1.007,1.021,0,TRUE,TRUE
Allergic_rhinitis,985,689,296,23606,15600,8006,0.837,0.729,0.962,0.012,0.991,0.987,0.995,0,TRUE,TRUE
Anxiety_disorders,2480,1527,953,22111,14762,7349,1.254,1.151,1.366,0,1,0.997,1.002,0.772,TRUE,FALSE
Aortic__peripheral__and_visceral_artery_aneurysms,32,18,14,24559,16271,8288,1.53,0.76,3.079,0.234,1.06,1.037,1.084,0,FALSE,TRUE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,12,7,5,24579,16282,8297,1.405,0.446,4.431,0.562,1.072,1.034,1.112,0,FALSE,TRUE
Asthma,463,281,182,24128,16008,8120,1.278,1.058,1.543,0.011,0.989,0.983,0.994,0,TRUE,TRUE
Atopic_dermatitis,291,192,99,24300,16097,8203,1.015,0.794,1.297,0.906,0.952,0.946,0.958,0,FALSE,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,68,35,33,24523,16254,8269,1.853,1.151,2.984,0.011,1.001,0.986,1.016,0.866,TRUE,FALSE
Cardiac_and_circulatory_congenital_anomalies,12,4,8,24579,16285,8294,3.938,1.185,13.084,0.025,0.96,0.929,0.992,0.014,TRUE,TRUE
Cardiac_dysrhythmias,398,277,121,24193,16012,8181,0.853,0.686,1.06,0.152,1.064,1.057,1.071,0,FALSE,TRUE
Cataract,517,353,164,24074,15936,8138,0.907,0.748,1.1,0.321,1.089,1.082,1.096,0,FALSE,TRUE
Chronic_kidney_disease,387,223,164,24204,16066,8138,1.474,1.198,1.813,0,1.076,1.068,1.083,0,TRUE,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,399,192,207,24192,16097,8095,2.164,1.773,2.642,0,1.049,1.042,1.056,0,TRUE,TRUE
Chronic_ulcer_of_skin,244,135,109,24347,16154,8193,1.614,1.248,2.087,0,1.077,1.068,1.086,0,TRUE,TRUE
Coagulation_and_hemorrhagic_disorders,288,149,139,24303,16140,8163,1.856,1.469,2.345,0,1.051,1.043,1.059,0,TRUE,TRUE
Conduction_disorders,100,82,18,24491,16207,8284,0.429,0.257,0.715,0.001,1.042,1.029,1.056,0,TRUE,TRUE
Congestive_heart_failure__nonhypertensive,328,105,223,24263,16184,8079,4.41,3.482,5.585,0,1.069,1.061,1.076,0,TRUE,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,21,17,4,24570,16272,8298,0.462,0.155,1.375,0.165,0.937,0.915,0.959,0,FALSE,TRUE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,441,279,162,24150,16010,8140,1.146,0.94,1.396,0.177,1.058,1.052,1.065,0,FALSE,TRUE
Depression_and_Mood_disorders,1572,884,688,23019,15405,7614,1.576,1.421,1.748,0,1.014,1.01,1.017,0,TRUE,TRUE
Developmental_disorders,20,15,5,24571,16274,8297,0.654,0.237,1.799,0.41,1.006,0.979,1.035,0.665,FALSE,FALSE
Diabetes,884,572,312,23707,15717,7990,1.074,0.932,1.238,0.323,1.044,1.04,1.049,0,FALSE,TRUE
Diseases_of_white_blood_cells,184,137,47,24407,16152,8255,0.671,0.481,0.936,0.019,0.999,0.99,1.008,0.795,TRUE,FALSE
Disorders_of_lipid_metabolism,2928,2019,909,21663,14270,7393,0.866,0.796,0.942,0.001,1.027,1.024,1.03,0,TRUE,TRUE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,60,44,16,24531,16245,8286,0.714,0.402,1.268,0.25,0.938,0.925,0.952,0,FALSE,TRUE
Diverticulosis_and_diverticulitis,160,112,48,24431,16177,8254,0.839,0.598,1.179,0.313,1.046,1.036,1.057,0,FALSE,TRUE
Dyspareunia,78,55,23,24513,16234,8279,0.821,0.504,1.337,0.429,0.972,0.959,0.985,0,FALSE,TRUE
Eating_disorders,29,9,20,24562,16280,8282,4.37,1.989,9.602,0,0.991,0.969,1.014,0.433,TRUE,FALSE
Endometriosis,29,16,13,24562,16273,8289,1.597,0.768,3.321,0.21,0.984,0.962,1.006,0.158,FALSE,FALSE
Epilepsy__convulsions,164,57,107,24427,16232,8195,3.718,2.693,5.133,0,1.013,1.003,1.023,0.009,TRUE,TRUE
Escleritis,16,11,5,24575,16278,8297,0.891,0.31,2.566,0.831,1.014,0.982,1.046,0.398,FALSE,FALSE
Esophageal_disorders,445,294,151,24146,15995,8151,1.007,0.826,1.228,0.942,1.013,1.007,1.019,0,FALSE,TRUE
Female_infertility,95,60,35,24496,16229,8267,1.147,0.755,1.743,0.519,0.97,0.959,0.982,0,FALSE,TRUE
Glaucoma,295,204,91,24296,16085,8211,0.873,0.68,1.12,0.286,1.048,1.04,1.056,0,FALSE,TRUE
Gout,245,179,66,24346,16110,8236,0.72,0.542,0.957,0.023,1.046,1.038,1.054,0,TRUE,TRUE
HIV-related_disease,47,12,35,24544,16277,8267,5.743,2.98,11.07,0,0.998,0.98,1.016,0.828,TRUE,FALSE
Headache__including_migraine,1746,1109,637,22845,15180,7665,1.138,1.029,1.259,0.012,0.992,0.989,0.995,0,TRUE,TRUE
Hearing_loss_and_other_ear_and_sense_organ_disorders,709,469,240,23882,15820,8062,1.004,0.857,1.176,0.964,1.027,1.022,1.032,0,FALSE,TRUE
Heart_valve_disorders,90,49,41,24501,16240,8261,1.654,1.09,2.511,0.018,1.071,1.057,1.086,0,TRUE,TRUE
Hepatic_steatosis_and_other_liver_diseases,351,170,181,24240,16119,8121,2.119,1.715,2.618,0,1.032,1.025,1.039,0,TRUE,TRUE
Hepatitis,439,66,373,24152,16223,7929,11.571,8.894,15.054,0,1.01,1.004,1.016,0.001,TRUE,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,62,27,35,24529,16262,8267,2.55,1.542,4.217,0,1.03,1.014,1.047,0,TRUE,TRUE
Hyperplasia_of_prostate,303,224,79,24288,16065,8223,0.684,0.527,0.888,0.004,1.075,1.067,1.083,0,TRUE,TRUE
Hypertension,2429,1682,747,22162,14607,7555,0.855,0.78,0.937,0.001,1.034,1.031,1.037,0,TRUE,TRUE
Immunity_disorders,13,7,6,24578,16282,8296,1.688,0.567,5.029,0.347,1.079,1.041,1.117,0,FALSE,TRUE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,45,11,34,24546,16278,8268,6.085,3.081,12.015,0,1.021,1.002,1.041,0.028,TRUE,TRUE
Inflammatory_conditions_of_male_genital_organs,332,203,129,24259,16086,8173,1.251,1.002,1.562,0.048,0.997,0.99,1.003,0.325,TRUE,FALSE
Irritable_bowel_and_other_GI_disorders,151,100,51,24440,16189,8251,1,0.713,1.403,0.999,1.009,0.999,1.02,0.07,FALSE,FALSE
Ischemic_heart_disease,368,172,196,24223,16117,8106,2.297,1.865,2.829,0,1.056,1.049,1.063,0,TRUE,TRUE
Joint_disorders_and_dislocations__trauma-related,104,70,34,24487,16219,8268,0.953,0.632,1.436,0.817,1.001,0.989,1.013,0.922,FALSE,FALSE
Menieres_disease,17,11,6,24574,16278,8296,1.07,0.395,2.894,0.894,1.014,0.984,1.045,0.366,FALSE,FALSE
Menopausal_disorders,452,331,121,24139,15958,8181,0.712,0.577,0.879,0.002,1.02,1.014,1.027,0,TRUE,TRUE
Menstrual_disorders,1092,711,381,23499,15578,7921,1.056,0.929,1.2,0.406,0.977,0.973,0.98,0,FALSE,TRUE
Miscellaneous_mental_health_disorders,512,346,166,24079,15943,8136,0.94,0.78,1.134,0.518,0.998,0.993,1.004,0.514,FALSE,FALSE
Multiple_sclerosis,15,11,4,24576,16278,8298,0.714,0.227,2.244,0.564,0.978,0.949,1.009,0.161,FALSE,FALSE
Myodesopsia_and_other_eye_disorders,230,153,77,24361,16136,8225,0.987,0.749,1.3,0.925,1.03,1.022,1.039,0,FALSE,TRUE
Neoplasms,480,264,216,24111,16025,8086,1.639,1.364,1.97,0,1.057,1.051,1.063,0,TRUE,TRUE
Nervous_system_congenital_anomalies,12,5,7,24579,16284,8295,2.748,0.872,8.658,0.084,1.006,0.97,1.043,0.753,FALSE,FALSE
Neuropathy_and_other_nervous_system_disorders,551,361,190,24040,15928,8112,1.033,0.865,1.234,0.721,1.018,1.012,1.023,0,FALSE,TRUE
Nonmalignant_breast_conditions,82,61,21,24509,16228,8281,0.675,0.411,1.108,0.12,1.001,0.988,1.015,0.839,FALSE,FALSE
Nutritional_deficiencies,23,7,16,24568,16282,8286,4.494,1.848,10.931,0.001,1.042,1.015,1.07,0.002,TRUE,TRUE
Obesity,753,579,174,23838,15710,8128,0.58,0.489,0.689,0,1.013,1.008,1.018,0,TRUE,TRUE
