ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Other_infections__including_parasitic,8,5,3,16038,10611,5427,1.172,0.28,4.908,0.828,1.021,0.976,1.069,0.357,FALSE,FALSE
Other_lower_respiratory_disease,9,4,5,16037,10612,5425,2.453,0.658,9.148,0.181,1.072,1.028,1.119,0.001,FALSE,TRUE
Other_male_genital_disorders,426,217,209,15620,10399,5221,1.92,1.583,2.329,0,0.99,0.984,0.996,0.002,TRUE,TRUE
Other_microcrystalline_arthritis,15,10,5,16031,10606,5425,0.978,0.334,2.862,0.967,1.046,1.012,1.08,0.008,FALSE,TRUE
Other_non-traumatic_joint_disorders,155,94,61,15891,10522,5369,1.271,0.919,1.758,0.147,1.02,1.01,1.031,0,FALSE,TRUE
Other_nutritional__endocrine__and_metabolic_disorders,106,71,35,15940,10545,5395,0.963,0.641,1.445,0.855,1.02,1.007,1.033,0.002,FALSE,TRUE
Pancreatic_disorders__not_diabetes_,53,29,24,15993,10587,5406,1.62,0.942,2.786,0.081,1.023,1.006,1.041,0.01,FALSE,TRUE
Paralysis,48,23,25,15998,10593,5405,2.131,1.208,3.759,0.009,1.036,1.017,1.055,0,TRUE,TRUE
Parkinson_s_disease,32,24,8,16014,10592,5422,0.652,0.292,1.453,0.295,1.072,1.048,1.097,0,FALSE,TRUE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,62,38,24,15984,10578,5406,1.236,0.74,2.063,0.418,1.038,1.021,1.055,0,FALSE,TRUE
Peripheral_and_visceral_atherosclerosis,114,55,59,15932,10561,5371,2.129,1.469,3.084,0,1.064,1.051,1.077,0,TRUE,TRUE
Personality_disorders,60,25,35,15986,10591,5395,2.751,1.645,4.601,0,0.988,0.972,1.004,0.133,TRUE,FALSE
Polymyalgia_rheumatica,7,5,2,16039,10611,5428,0.784,0.152,4.047,0.772,1.081,1.029,1.135,0.002,FALSE,TRUE
Prolapse_of_female_genital_organs,2,1,1,16044,10615,5429,1.957,0.122,31.291,0.635,1.054,0.963,1.153,0.254,FALSE,FALSE
Psoriasis_and_other_inflammatory,195,124,71,15851,10492,5359,1.12,0.835,1.503,0.448,1.014,1.005,1.024,0.002,FALSE,TRUE
Pulmonary_heart_disease,6,2,4,16040,10614,5426,3.924,0.718,21.442,0.115,1.07,1.016,1.128,0.011,FALSE,TRUE
Regional_enteritis_and_ulcerative_colitis,42,25,17,16004,10591,5413,1.33,0.718,2.465,0.365,1.007,0.988,1.027,0.454,FALSE,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,32,16,16,16014,10600,5414,1.959,0.978,3.921,0.058,1.04,1.017,1.064,0.001,FALSE,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,76,59,17,15970,10557,5413,0.561,0.327,0.964,0.036,1.049,1.034,1.064,0,TRUE,TRUE
