ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Acquired_foot_deformities,277,192,85,8268,5481,2787,0.869,0.669,1.129,0.293,1.044,1.036,1.052,0,FALSE,TRUE
Acute_cerebrovascular_disease,74,37,37,8471,5636,2835,2.032,1.277,3.234,0.003,1.079,1.064,1.095,0,TRUE,TRUE
Adictions,154,26,128,8391,5647,2744,10.131,6.63,15.483,0,1.001,0.991,1.011,0.837,TRUE,FALSE
Adjustment_disorders,260,149,111,8285,5524,2761,1.494,1.163,1.92,0.002,1.026,1.018,1.034,0,TRUE,TRUE
Alcohol-related_disorders,113,40,73,8432,5633,2799,3.674,2.492,5.416,0,1.008,0.996,1.019,0.2,TRUE,FALSE
Allergic_rhinitis,1053,728,325,7492,4945,2547,0.867,0.754,0.996,0.044,0.992,0.988,0.996,0,TRUE,TRUE
Anxiety_disorders,2543,1638,905,6002,4035,1967,1.134,1.028,1.25,0.012,1.008,1.005,1.011,0,TRUE,TRUE
Aortic__peripheral__and_visceral_artery_aneurysms,6,3,3,8539,5670,2869,1.98,0.399,9.821,0.403,1.053,1.003,1.106,0.039,FALSE,TRUE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,7,3,4,8538,5670,2868,2.656,0.592,11.908,0.202,1.087,1.038,1.138,0,FALSE,TRUE
Asthma,624,400,224,7921,5273,2648,1.115,0.941,1.322,0.209,1,0.995,1.005,0.882,FALSE,FALSE
Atopic_dermatitis,308,231,77,8237,5442,2795,0.646,0.497,0.841,0.001,0.968,0.961,0.975,0,TRUE,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,39,19,20,8506,5654,2852,2.088,1.112,3.918,0.022,0.986,0.967,1.005,0.148,TRUE,FALSE
Biliary_tract_disease,1,1,0,8544,5672,2872,2.088,1.112,3.918,0.022,0.986,0.967,1.005,0.148,TRUE,FALSE
Cardiac_and_circulatory_congenital_anomalies,10,7,3,8535,5666,2869,0.845,0.217,3.295,0.808,0.903,0.869,0.939,0,FALSE,TRUE
Cardiac_dysrhythmias,221,139,82,8324,5534,2790,1.178,0.889,1.561,0.253,1.061,1.052,1.07,0,FALSE,TRUE
Cataract,356,225,131,8189,5448,2741,1.213,0.945,1.557,0.129,1.124,1.114,1.134,0,FALSE,TRUE
Chronic_kidney_disease,156,86,70,8389,5587,2802,1.671,1.204,2.32,0.002,1.081,1.069,1.092,0,TRUE,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,159,67,92,8386,5606,2780,2.81,2.04,3.871,0,1.047,1.036,1.057,0,TRUE,TRUE
Chronic_ulcer_of_skin,81,41,40,8464,5632,2832,1.993,1.276,3.114,0.002,1.084,1.069,1.1,0,TRUE,TRUE
Coagulation_and_hemorrhagic_disorders,145,75,70,8400,5598,2802,1.879,1.35,2.616,0,1.045,1.034,1.055,0,TRUE,TRUE
Conduction_disorders,44,33,11,8501,5640,2861,0.656,0.33,1.304,0.229,1.068,1.049,1.088,0,FALSE,TRUE
Congestive_heart_failure__nonhypertensive,127,34,93,8418,5639,2779,6.025,4.022,9.027,0,1.082,1.069,1.094,0,TRUE,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,22,14,8,8523,5659,2864,1.13,0.473,2.696,0.784,0.976,0.952,1,0.053,FALSE,FALSE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,343,216,127,8202,5457,2745,1.187,0.94,1.499,0.15,1.076,1.068,1.084,0,FALSE,TRUE
Depression_and_Mood_disorders,1691,1006,685,6854,4667,2187,1.474,1.319,1.649,0,1.031,1.027,1.035,0,TRUE,TRUE
Developmental_disorders,14,9,5,8531,5664,2867,1.098,0.368,3.278,0.868,0.996,0.964,1.028,0.79,FALSE,FALSE
Diabetes,475,307,168,8070,5366,2704,1.096,0.895,1.34,0.376,1.069,1.062,1.076,0,FALSE,TRUE
Diseases_of_white_blood_cells,154,86,68,8391,5587,2804,1.575,1.143,2.172,0.006,1.002,0.992,1.012,0.662,TRUE,FALSE
Disorders_of_lipid_metabolism,1965,1340,625,6580,4333,2247,0.884,0.787,0.993,0.038,1.065,1.061,1.069,0,TRUE,TRUE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,38,31,7,8507,5642,2865,0.444,0.195,1.011,0.053,0.962,0.944,0.98,0,FALSE,TRUE
Diverticulosis_and_diverticulitis,101,67,34,8444,5606,2838,1.005,0.66,1.531,0.981,1.074,1.061,1.088,0,FALSE,TRUE
Dyspareunia,142,102,40,8403,5571,2832,0.771,0.533,1.115,0.167,0.975,0.965,0.985,0,FALSE,TRUE
Eating_disorders,58,27,31,8487,5646,2841,2.283,1.36,3.833,0.002,0.984,0.969,0.999,0.041,TRUE,TRUE
Endometriosis,77,40,37,8468,5633,2835,1.838,1.173,2.881,0.008,1.006,0.992,1.02,0.398,TRUE,FALSE
Epilepsy__convulsions,98,40,58,8447,5633,2814,2.903,1.935,4.353,0,0.999,0.987,1.011,0.848,TRUE,FALSE
Escleritis,17,10,7,8528,5663,2865,1.384,0.526,3.639,0.51,1.003,0.974,1.033,0.837,FALSE,FALSE
