ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,156,107,49,4103,2717,1386,0.898,0.636,1.267,0.539,FALSE
Acute_cerebrovascular_disease,26,10,16,4233,2814,1419,3.173,1.436,7.01,0.004,TRUE
Adictions,104,16,88,4155,2808,1347,11.465,6.704,19.609,0,TRUE
Adjustment_disorders,151,86,65,4108,2738,1370,1.511,1.087,2.098,0.014,TRUE
Alcohol-related_disorders,69,23,46,4190,2801,1389,4.033,2.435,6.68,0,TRUE
Allergic_rhinitis,503,343,160,3756,2481,1275,0.908,0.744,1.108,0.341,FALSE
Anxiety_disorders,1348,845,503,2911,1979,932,1.264,1.104,1.447,0.001,TRUE
Aortic_and_peripheral_arterial_embolism_or_thrombosis,3,1,2,4256,2823,1433,3.94,0.357,43.479,0.263,FALSE
Asthma,303,182,121,3956,2642,1314,1.337,1.052,1.698,0.017,TRUE
Atopic_dermatitis,112,75,37,4147,2749,1398,0.97,0.651,1.446,0.881,FALSE
Attention-deficit__conduct__and_disruptive_behavior_disorders,15,6,9,4244,2818,1426,2.964,1.053,8.344,0.04,TRUE
Cardiac_dysrhythmias,81,48,33,4178,2776,1402,1.361,0.87,2.13,0.177,FALSE
Cataract,74,42,32,4185,2782,1403,1.511,0.95,2.404,0.082,FALSE
Chronic_kidney_disease,64,33,31,4195,2791,1404,1.867,1.139,3.062,0.013,TRUE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,99,34,65,4160,2790,1370,3.893,2.558,5.924,0,TRUE
Chronic_ulcer_of_skin,26,8,18,4233,2816,1417,4.471,1.94,10.308,0,TRUE
Coagulation_and_hemorrhagic_disorders,63,30,33,4196,2794,1402,2.192,1.332,3.609,0.002,TRUE
Conduction_disorders,17,10,7,4242,2814,1428,1.379,0.524,3.631,0.515,FALSE
Congestive_heart_failure__nonhypertensive,42,2,40,4217,2822,1395,40.459,9.773,167.497,0,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,11,10,1,4248,2814,1434,0.196,0.025,1.534,0.121,FALSE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,128,83,45,4131,2741,1390,1.069,0.74,1.546,0.722,FALSE
Depression_and_Mood_disorders,995,580,415,3264,2244,1020,1.574,1.36,1.822,0,TRUE
Developmental_disorders,5,4,1,4254,2820,1434,0.492,0.055,4.403,0.526,FALSE
Diabetes,224,147,77,4035,2677,1358,1.033,0.778,1.371,0.825,FALSE
Diseases_of_white_blood_cells,73,42,31,4186,2782,1404,1.463,0.915,2.337,0.112,FALSE
Disorders_of_lipid_metabolism,1140,779,361,3119,2045,1074,0.882,0.763,1.02,0.091,FALSE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,13,10,3,4246,2814,1432,0.59,0.162,2.145,0.423,FALSE
Diverticulosis_and_diverticulitis,43,31,12,4216,2793,1423,0.76,0.389,1.484,0.421,FALSE
Dyspareunia,59,44,15,4200,2780,1420,0.667,0.37,1.203,0.179,FALSE
Eating_disorders,23,14,9,4236,2810,1426,1.267,0.547,2.934,0.581,FALSE
