ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Hepatic_steatosis_and_other_liver_diseases,555,294,261,24036,15995,8041,1.775,1.498,2.103,0,1.039,1.033,1.045,0,TRUE,TRUE
Hepatitis,1110,167,943,23481,16122,7359,12.389,10.485,14.639,0,1.008,1.004,1.012,0,TRUE,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,105,53,52,24486,16236,8250,1.933,1.317,2.837,0.001,1.038,1.026,1.051,0,TRUE,TRUE
Hyperplasia_of_prostate,594,421,173,23997,15868,8129,0.788,0.653,0.95,0.013,1.101,1.094,1.107,0,TRUE,TRUE
Hypertension,5061,3397,1664,19530,12892,6638,0.942,0.877,1.011,0.099,1.072,1.07,1.075,0,FALSE,TRUE
Hypertension_complicating_pregnancy__childbirth_and_the_puerperium,19,8,11,24572,16281,8291,2.709,1.089,6.741,0.032,0.955,0.931,0.979,0,TRUE,TRUE
Immunity_disorders,20,8,12,24571,16281,8290,2.964,1.21,7.264,0.017,1.084,1.053,1.115,0,TRUE,TRUE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,72,22,50,24519,16267,8252,4.48,2.711,7.403,0,1.022,1.007,1.038,0.004,TRUE,TRUE
Inflammatory_conditions_of_male_genital_organs,573,352,221,24018,15937,8081,1.239,1.045,1.469,0.014,0.991,0.985,0.996,0,TRUE,TRUE
Irritable_bowel_and_other_GI_disorders,365,243,122,24226,16046,8180,0.984,0.791,1.226,0.888,1.012,1.005,1.019,0,FALSE,TRUE
Ischemic_heart_disease,649,326,323,23942,15963,7979,2.064,1.757,2.424,0,1.076,1.07,1.081,0,TRUE,TRUE
Joint_disorders_and_dislocations__trauma-related,251,161,90,24340,16128,8212,1.098,0.847,1.423,0.481,1.002,0.994,1.01,0.609,FALSE,FALSE
Malaise_and_fatigue,17,8,9,24574,16281,8293,2.208,0.851,5.724,0.103,1.023,0.992,1.054,0.149,FALSE,FALSE
Menieres_disease,36,26,10,24555,16263,8292,0.754,0.363,1.564,0.448,1.037,1.016,1.059,0.001,FALSE,TRUE
Menopausal_disorders,856,590,266,23735,15699,8036,0.879,0.758,1.019,0.088,1.038,1.034,1.043,0,FALSE,TRUE
Menstrual_disorders,2495,1638,857,22096,14651,7445,1.032,0.945,1.127,0.484,0.972,0.97,0.975,0,FALSE,TRUE
Miscellaneous_mental_health_disorders,983,656,327,23608,15633,7975,0.977,0.854,1.119,0.741,0.994,0.99,0.998,0.003,FALSE,TRUE
Multiple_sclerosis,38,24,14,24553,16265,8288,1.145,0.592,2.215,0.688,0.996,0.977,1.016,0.723,FALSE,FALSE
Myodesopsia_and_other_eye_disorders,381,255,126,24210,16034,8176,0.968,0.781,1.201,0.77,1.024,1.018,1.031,0,FALSE,TRUE
Neoplasms,905,485,420,23686,15804,7882,1.79,1.56,2.053,0,1.066,1.062,1.071,0,TRUE,TRUE
Nephritis__nephrosis__renal_sclerosis,20,7,13,24571,16282,8289,3.647,1.454,9.144,0.006,1.027,0.998,1.056,0.066,TRUE,FALSE
