ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Other_congenital_anomalies,61,36,25,4390,2921,1469,1.381,0.826,2.309,0.219,FALSE
Other_male_genital_disorders,247,131,116,4204,2826,1378,1.816,1.403,2.351,0,TRUE
Other_non-traumatic_joint_disorders,38,25,13,4413,2932,1481,1.029,0.525,2.018,0.933,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,46,29,17,4405,2928,1477,1.162,0.637,2.122,0.625,FALSE
Pancreatic_disorders__not_diabetes_,7,2,5,4444,2955,1489,4.961,0.961,25.602,0.056,FALSE
Paralysis,15,8,7,4436,2949,1487,1.735,0.628,4.794,0.288,FALSE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,12,6,6,4439,2951,1488,1.983,0.639,6.16,0.236,FALSE
Personality_disorders,45,24,21,4406,2933,1473,1.742,0.967,3.14,0.065,FALSE
Psoriasis_and_other_inflammatory,81,45,36,4370,2912,1458,1.598,1.026,2.488,0.038,TRUE
Pulmonary_heart_disease,2,1,1,4449,2956,1493,1.98,0.124,31.669,0.629,FALSE
Regional_enteritis_and_ulcerative_colitis,27,13,14,4424,2944,1480,2.142,1.004,4.569,0.049,TRUE
Restless_leg_syndrome_and_other_nervous_system_conditions,8,5,3,4443,2952,1491,1.188,0.284,4.977,0.814,FALSE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,7,6,1,4444,2951,1493,0.329,0.04,2.739,0.304,FALSE
Rheumatoid_arthritis_and_related_disease,7,2,5,4444,2955,1489,4.961,0.961,25.602,0.056,FALSE
Schizophrenia_and_other_psychotic_disorders,32,19,13,4419,2938,1481,1.357,0.669,2.756,0.398,FALSE
Sexual_disorders,104,63,41,4347,2894,1453,1.296,0.87,1.93,0.202,FALSE
Sleeping_disorders,24,16,8,4427,2941,1486,0.99,0.423,2.318,0.981,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,43,24,19,4408,2933,1475,1.574,0.86,2.883,0.142,FALSE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,7,4,3,4444,2953,1491,1.485,0.332,6.645,0.605,FALSE
Thalassemia_and_other_anemia,12,8,4,4439,2949,1490,0.99,0.298,3.291,0.986,FALSE
Thyroid_disorders,106,62,44,4345,2895,1450,1.417,0.958,2.096,0.081,FALSE
Tongue_tie_an_other_digestive_congenital_anomalies,10,8,2,4441,2949,1492,0.494,0.105,2.33,0.373,FALSE
Urinary_incontinence,29,21,8,4422,2936,1486,0.753,0.333,1.703,0.495,FALSE
Viral_infection,16,5,11,4435,2952,1483,4.379,1.519,12.627,0.006,TRUE
Vision_defects,180,118,62,4271,2839,1432,1.042,0.761,1.426,0.799,FALSE
