ccs,n_positive_vih,N_total_vih,prop_vih,n_positive_ctl,N_total_ctl,prop_ctl,p_value
HIV_infection,8302,8302,100,0,16289,0,0
Anxiety_disorders,953,8302,11.48,1527,16289,9.37,0
Disorders_of_lipid_metabolism,909,8302,10.95,2019,16289,12.39,0.001
Hypertension,747,8302,9,1682,16289,10.33,0.001
Depression_and_Mood_disorders,688,8302,8.29,884,16289,5.43,0
Headache__including_migraine,637,8302,7.67,1109,16289,6.81,0.0135
Vision_defects,383,8302,4.61,601,16289,3.69,0.0005
Menstrual_disorders,381,8302,4.59,711,16289,4.36,0.4384
Hepatitis,373,8302,4.49,66,16289,0.41,0
Thyroid_disorders,314,8302,3.78,716,16289,4.4,0.0253
Diabetes,312,8302,3.76,572,16289,3.51,0.3442
Allergic_rhinitis,296,8302,3.57,689,16289,4.23,0.0132
Hearing_loss_and_other_ear_and_sense_organ_disorders,240,8302,2.89,469,16289,2.88,0.991
Osteoarthritis,236,8302,2.84,517,16289,3.17,0.1656
Urinary_incontinence,236,8302,2.84,396,16289,2.43,0.0593
Adictions,224,8302,2.7,62,16289,0.38,0
Congestive_heart_failure__nonhypertensive,223,8302,2.69,105,16289,0.64,0
Sexual_disorders,222,8302,2.67,281,16289,1.73,0
Neoplasms,216,8302,2.6,264,16289,1.62,0
Other_male_genital_disorders,211,8302,2.54,218,16289,1.34,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,207,8302,2.49,192,16289,1.18,0
Ischemic_heart_disease,196,8302,2.36,172,16289,1.06,0
Neuropathy_and_other_nervous_system_disorders,190,8302,2.29,361,16289,2.22,0.7511
Asthma,182,8302,2.19,281,16289,1.73,0.0124
Hepatic_steatosis_and_other_liver_diseases,181,8302,2.18,170,16289,1.04,0
Obesity,174,8302,2.1,579,16289,3.55,0
Miscellaneous_mental_health_disorders,166,8302,2,346,16289,2.12,0.5485
Cataract,164,8302,1.98,353,16289,2.17,0.3453
Chronic_kidney_disease,164,8302,1.98,223,16289,1.37,0.0004
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,162,8302,1.95,279,16289,1.71,0.1998
Spondylosis__intervertebral_disc_disorders__other_back_problems,160,8302,1.93,353,16289,2.17,0.2312
Esophageal_disorders,151,8302,1.82,294,16289,1.8,0.9785
Coagulation_and_hemorrhagic_disorders,139,8302,1.67,149,16289,0.91,0
Osteoporosis,135,8302,1.63,145,16289,0.89,0
Alcohol-related_disorders,133,8302,1.6,182,16289,1.12,0.0017
Inflammatory_conditions_of_male_genital_organs,129,8302,1.55,203,16289,1.25,0.0551
Cardiac_dysrhythmias,121,8302,1.46,277,16289,1.7,0.1691
