ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,13,9,4,3089,2053,1036,0.881,0.271,2.867,0.833,FALSE
Adictions,14,5,9,3088,2057,1031,3.591,1.201,10.742,0.022,TRUE
Adjustment_disorders,31,21,10,3071,2041,1030,0.944,0.443,2.011,0.88,FALSE
Alcohol-related_disorders,15,3,12,3087,2059,1028,8.012,2.256,28.453,0.001,TRUE
Allergic_rhinitis,165,112,53,2937,1950,987,0.935,0.668,1.308,0.694,FALSE
Anxiety_disorders,359,227,132,2743,1835,908,1.175,0.935,1.477,0.167,FALSE
Asthma,69,45,24,3033,2017,1016,1.059,0.641,1.748,0.823,FALSE
Atopic_dermatitis,71,52,19,3031,2010,1021,0.719,0.423,1.223,0.224,FALSE
Attention-deficit__conduct__and_disruptive_behavior_disorders,6,3,3,3096,2059,1037,1.986,0.4,9.854,0.401,FALSE
Cardiac_and_circulatory_congenital_anomalies,4,2,2,3098,2060,1038,1.985,0.279,14.107,0.493,FALSE
Cardiac_dysrhythmias,22,19,3,3080,2043,1037,0.311,0.092,1.054,0.061,FALSE
Cataract,2,1,1,3100,2061,1039,1.984,0.124,31.745,0.628,FALSE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,10,5,5,3092,2057,1035,1.987,0.574,6.88,0.278,FALSE
Chronic_ulcer_of_skin,4,1,3,3098,2061,1037,5.962,0.619,57.389,0.122,FALSE
Coagulation_and_hemorrhagic_disorders,14,6,8,3088,2056,1032,2.656,0.919,7.676,0.071,FALSE
Congestive_heart_failure__nonhypertensive,9,1,8,3093,2061,1032,15.977,1.996,127.908,0.009,TRUE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,19,9,10,3083,2053,1030,2.215,0.897,5.467,0.085,FALSE
Depression_and_Mood_disorders,154,88,66,2948,1974,974,1.52,1.095,2.111,0.012,TRUE
Diabetes,16,11,5,3086,2051,1035,0.901,0.312,2.599,0.847,FALSE
Diseases_of_white_blood_cells,27,20,7,3075,2042,1033,0.692,0.292,1.641,0.403,FALSE
Disorders_of_lipid_metabolism,119,74,45,2983,1988,995,1.215,0.832,1.774,0.313,FALSE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,7,4,3,3095,2058,1037,1.488,0.333,6.663,0.603,FALSE
Diverticulosis_and_diverticulitis,2,1,1,3100,2061,1039,1.984,0.124,31.745,0.628,FALSE
Dyspareunia,36,25,11,3066,2037,1029,0.871,0.427,1.777,0.704,FALSE
Eating_disorders,8,1,7,3094,2061,1033,13.966,1.716,113.662,0.014,TRUE
Endometriosis,11,4,7,3091,2058,1033,3.486,1.018,11.937,0.047,TRUE
Epilepsy__convulsions,10,4,6,3092,2058,1034,2.985,0.841,10.603,0.091,FALSE
Escleritis,2,1,1,3100,2061,1039,1.984,0.124,31.745,0.628,FALSE
Esophageal_disorders,44,30,14,3058,2032,1026,0.924,0.488,1.751,0.809,FALSE
Female_infertility,52,32,20,3050,2030,1020,1.244,0.708,2.186,0.448,FALSE
Glaucoma,9,4,5,3093,2058,1035,2.486,0.666,9.276,0.175,FALSE
HIV-related_disease,9,3,6,3093,2059,1034,3.983,0.994,15.956,0.051,FALSE
Headache__including_migraine,287,178,109,2815,1884,931,1.239,0.964,1.593,0.094,FALSE
Hearing_loss_and_other_ear_and_sense_organ_disorders,44,24,20,3058,2038,1020,1.665,0.915,3.028,0.095,FALSE
Heart_valve_disorders,2,1,1,3100,2061,1039,1.984,0.124,31.745,0.628,FALSE
Hepatic_steatosis_and_other_liver_diseases,5,1,4,3097,2061,1036,7.958,0.888,71.284,0.064,FALSE
Hepatitis,33,7,26,3069,2055,1014,7.527,3.256,17.401,0,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,6,3,3,3096,2059,1037,1.986,0.4,9.854,0.401,FALSE
Hypertension,90,47,43,3012,2015,997,1.849,1.214,2.816,0.004,TRUE
Irritable_bowel_and_other_GI_disorders,21,15,6,3081,2047,1034,0.792,0.306,2.047,0.63,FALSE
Ischemic_heart_disease,3,1,2,3099,2061,1038,3.971,0.36,43.844,0.26,FALSE
Joint_disorders_and_dislocations__trauma-related,12,8,4,3090,2054,1036,0.991,0.298,3.3,0.989,FALSE
Menieres_disease,2,1,1,3100,2061,1039,1.984,0.124,31.745,0.628,FALSE
Menopausal_disorders,14,9,5,3088,2053,1035,1.102,0.368,3.297,0.862,FALSE
Menstrual_disorders,448,281,167,2654,1781,873,1.212,0.985,1.493,0.069,FALSE
Miscellaneous_mental_health_disorders,95,55,40,3007,2007,1000,1.46,0.965,2.209,0.074,FALSE
Multiple_sclerosis,5,3,2,3097,2059,1038,1.322,0.221,7.926,0.76,FALSE
Myodesopsia_and_other_eye_disorders,18,9,9,3084,2053,1031,1.991,0.788,5.032,0.145,FALSE
Neoplasms,9,3,6,3093,2059,1034,3.983,0.994,15.956,0.051,FALSE
Neuropathy_and_other_nervous_system_disorders,52,38,14,3050,2024,1026,0.727,0.392,1.347,0.311,FALSE
Nonmalignant_breast_conditions,15,10,5,3087,2052,1035,0.991,0.338,2.908,0.987,FALSE
Obesity,68,44,24,3034,2018,1016,1.083,0.655,1.792,0.755,FALSE
Obstructive_Sleep_apnea,3,2,1,3099,2060,1039,0.991,0.09,10.942,0.994,FALSE
Osteoarthritis,14,7,7,3088,2055,1033,1.989,0.696,5.687,0.199,FALSE
Osteoporosis,5,1,4,3097,2061,1036,7.958,0.888,71.284,0.064,FALSE
Other_acquired_deformities,18,15,3,3084,2047,1037,0.395,0.114,1.367,0.142,FALSE
Other_circulatory_disease,16,7,9,3086,2055,1031,2.563,0.952,6.901,0.063,FALSE
Other_congenital_anomalies,18,13,5,3084,2049,1035,0.761,0.271,2.142,0.605,FALSE
Other_non-traumatic_joint_disorders,33,23,10,3069,2039,1030,0.861,0.408,1.815,0.694,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,33,18,15,3069,2044,1025,1.662,0.834,3.311,0.149,FALSE
Pancreatic_disorders__not_diabetes_,4,1,3,3098,2061,1037,5.962,0.619,57.389,0.122,FALSE
Personality_disorders,8,2,6,3094,2060,1034,5.977,1.204,29.66,0.029,TRUE
Prolapse_of_female_genital_organs,7,4,3,3095,2058,1037,1.488,0.333,6.663,0.603,FALSE
Psoriasis_and_other_inflammatory,32,22,10,3070,2040,1030,0.9,0.425,1.908,0.784,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,6,1,5,3096,2061,1035,9.957,1.162,85.331,0.036,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,5,3,2,3097,2059,1038,1.322,0.221,7.926,0.76,FALSE
Rheumatoid_arthritis_and_related_disease,2,1,1,3100,2061,1039,1.984,0.124,31.745,0.628,FALSE
Schizophrenia_and_other_psychotic_disorders,8,1,7,3094,2061,1033,13.966,1.716,113.662,0.014,TRUE
Sexual_disorders,5,2,3,3097,2060,1037,2.98,0.497,17.858,0.232,FALSE
Sleeping_disorders,12,7,5,3090,2055,1035,1.418,0.449,4.479,0.552,FALSE
Spondylosis__intervertebral_disc_disorders__other_back_problems,15,9,6,3087,2053,1034,1.324,0.47,3.729,0.596,FALSE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,10,5,5,3092,2057,1035,1.987,0.574,6.88,0.278,FALSE
Thalassemia_and_other_anemia,8,4,4,3094,2058,1036,1.986,0.496,7.959,0.332,FALSE
Thyroid_disorders,173,119,54,2929,1943,986,0.894,0.642,1.245,0.507,FALSE
Urinary_incontinence,50,28,22,3052,2034,1018,1.57,0.894,2.758,0.117,FALSE
Urinary_tract_infections,2,1,1,3100,2061,1039,1.984,0.124,31.745,0.628,FALSE
Viral_infection,5,3,2,3097,2059,1038,1.322,0.221,7.926,0.76,FALSE
Vision_defects,105,57,48,2997,2005,992,1.702,1.151,2.517,0.008,TRUE
