ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,5,2,3,4446,2955,1491,2.973,0.496,17.811,0.233,FALSE
Acute_cerebrovascular_disease,3,1,2,4448,2956,1492,3.962,0.359,43.723,0.261,FALSE
Adictions,40,17,23,4411,2940,1471,2.704,1.44,5.077,0.002,TRUE
Adjustment_disorders,26,10,16,4425,2947,1478,3.19,1.444,7.047,0.004,TRUE
Alcohol-related_disorders,33,16,17,4418,2941,1477,2.116,1.066,4.199,0.032,TRUE
Allergic_rhinitis,158,107,51,4293,2850,1443,0.941,0.67,1.322,0.727,FALSE
Anxiety_disorders,315,161,154,4136,2796,1340,1.996,1.585,2.513,0,TRUE
Asthma,81,52,29,4370,2905,1465,1.106,0.699,1.749,0.667,FALSE
Atopic_dermatitis,70,44,26,4381,2913,1468,1.173,0.719,1.912,0.523,FALSE
Attention-deficit__conduct__and_disruptive_behavior_disorders,12,4,8,4439,2953,1486,3.974,1.195,13.22,0.024,TRUE
Cardiac_dysrhythmias,17,12,5,4434,2945,1489,0.824,0.29,2.344,0.717,FALSE
Chronic_kidney_disease,7,3,4,4444,2954,1490,2.643,0.591,11.825,0.203,FALSE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,7,4,3,4444,2953,1491,1.485,0.332,6.645,0.605,FALSE
Chronic_ulcer_of_skin,6,3,3,4445,2954,1491,1.981,0.399,9.827,0.403,FALSE
Coagulation_and_hemorrhagic_disorders,16,8,8,4435,2949,1486,1.985,0.743,5.298,0.171,FALSE
Conduction_disorders,11,9,2,4440,2948,1492,0.439,0.095,2.035,0.293,FALSE
Congestive_heart_failure__nonhypertensive,6,1,5,4445,2956,1489,9.926,1.159,85.015,0.036,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,10,8,2,4441,2949,1492,0.494,0.105,2.33,0.373,FALSE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,17,9,8,4434,2948,1486,1.763,0.679,4.58,0.244,FALSE
Depression_and_Mood_disorders,125,54,71,4326,2903,1423,2.682,1.872,3.843,0,TRUE
Developmental_disorders,5,3,2,4446,2954,1492,1.32,0.22,7.907,0.761,FALSE
Diabetes,28,12,16,4423,2945,1478,2.657,1.254,5.63,0.011,TRUE
Diseases_of_white_blood_cells,26,14,12,4425,2943,1482,1.702,0.785,3.689,0.178,FALSE
Disorders_of_lipid_metabolism,188,123,65,4263,2834,1429,1.048,0.771,1.425,0.765,FALSE
