ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Other_and_ill-defined_heart_disease,9,7,2,8887,5863,3024,0.554,0.115,2.668,0.461,FALSE
Other_bone_disease_and_musculoskeletal_deformities,18,9,9,8878,5861,3017,1.943,0.77,4.899,0.159,FALSE
Other_circulatory_disease,35,18,17,8861,5852,3009,1.837,0.945,3.569,0.073,FALSE
Other_congenital_anomalies,17,12,5,8879,5858,3021,0.808,0.284,2.295,0.689,FALSE
Other_diseases_of_bladder_and_urethra,5,4,1,8891,5866,3025,0.485,0.054,4.338,0.517,FALSE
Other_diseases_of_veins_and_lymphatics,7,2,5,8889,5868,3021,4.856,0.942,25.039,0.059,FALSE
Other_lower_respiratory_disease,3,1,2,8893,5869,3024,3.882,0.352,42.823,0.268,FALSE
Other_male_genital_disorders,251,126,125,8645,5744,2901,1.964,1.528,2.526,0,TRUE
Other_microcrystalline_arthritis,11,8,3,8885,5862,3023,0.727,0.193,2.743,0.638,FALSE
Other_non-traumatic_joint_disorders,105,61,44,8791,5809,2982,1.405,0.951,2.076,0.088,FALSE
Other_nutritional__endocrine__and_metabolic_disorders,62,38,24,8834,5832,3002,1.227,0.735,2.049,0.434,FALSE
Pancreatic_disorders__not_diabetes_,37,20,17,8859,5850,3009,1.653,0.864,3.159,0.129,FALSE
Paralysis,28,11,17,8868,5859,3009,3.009,1.408,6.433,0.004,TRUE
Parkinson_s_disease,13,8,5,8883,5862,3021,1.213,0.396,3.71,0.735,FALSE
Peri-__endo-__and_myocarditis__cardiomyopathy__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,38,22,16,8858,5848,3010,1.413,0.741,2.694,0.294,FALSE
Peripheral_and_visceral_atherosclerosis,52,25,27,8844,5845,2999,2.105,1.22,3.633,0.008,TRUE
Personality_disorders,39,13,26,8857,5857,3000,3.905,2.004,7.609,0,TRUE
Psoriasis_and_other_inflammatory,141,88,53,8755,5782,2973,1.171,0.831,1.652,0.367,FALSE
Pulmonary_heart_disease,2,1,1,8894,5869,3025,1.94,0.121,31.028,0.639,FALSE
Regional_enteritis_and_ulcerative_colitis,24,16,8,8872,5854,3018,0.97,0.415,2.269,0.944,FALSE
Restless_leg_syndrome_and_other_nervous_system_conditions,17,7,10,8879,5863,3016,2.777,1.056,7.303,0.038,TRUE
Retinal_detachments__defects__vascular_occlusion__and_retinopathy,47,36,11,8849,5834,3015,0.591,0.301,1.163,0.128,FALSE
Rheumatoid_arthritis_and_related_disease,14,12,2,8882,5858,3024,0.323,0.072,1.443,0.139,FALSE
Schizophrenia_and_other_psychotic_disorders,57,23,34,8839,5847,2992,2.889,1.699,4.913,0,TRUE
Sexual_disorders,369,207,162,8527,5663,2864,1.547,1.254,1.91,0,TRUE
Spondylosis__intervertebral_disc_disorders__other_back_problems,201,132,69,8695,5738,2957,1.014,0.756,1.362,0.925,FALSE
Systemic_lupus_erythematosus_and_connective_tissue_disorders,5,3,2,8891,5867,3024,1.293,0.216,7.745,0.778,FALSE
Thalassemia_and_other_anemia,10,6,4,8886,5864,3022,1.294,0.365,4.587,0.69,FALSE
Thyroid_disorders,228,166,62,8668,5704,2964,0.719,0.535,0.965,0.028,TRUE
Transient_cerebral_ischemia,19,10,9,8877,5860,3017,1.748,0.71,4.307,0.225,FALSE
Urinary_incontinence,107,62,45,8789,5808,2981,1.414,0.961,2.081,0.079,FALSE
Viral_infection,24,5,19,8872,5865,3007,7.412,2.765,19.865,0,TRUE
Vision_defects,375,228,147,8521,5642,2879,1.263,1.022,1.562,0.031,TRUE
