ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR_HIV,lb_HIV,ub_HIV,p_value_HIV,OR_edad,lb_edad,ub_edad,p_value_edad,p_05_HIV,p_05_edad
Hyperplasia_of_prostate,1,0,1,8544,5673,2871,2.267,1.104,4.653,0.026,1.029,1.007,1.053,0.011,TRUE,TRUE
Hypertension,730,484,246,7815,5189,2626,1.005,0.854,1.182,0.955,1.032,1.027,1.037,0,FALSE,TRUE
Immunity_disorders,5,3,2,8540,5670,2870,1.322,0.22,7.931,0.76,1.08,1.023,1.14,0.005,FALSE,TRUE
Infective_arthritis_and_osteomyelitis__except_that_caused_by_tuberculosis_or_sexually_transmitted_disease_,12,4,8,8533,5669,2864,3.962,1.192,13.169,0.025,1.028,0.992,1.065,0.126,TRUE,FALSE
Irritable_bowel_and_other_GI_disorders,66,44,22,8479,5629,2850,0.988,0.591,1.651,0.962,1.008,0.993,1.023,0.316,FALSE,FALSE
Ischemic_heart_disease,50,18,32,8495,5655,2840,3.576,2,6.393,0,1.055,1.037,1.073,0,TRUE,TRUE
Joint_disorders_and_dislocations__trauma-related,40,28,12,8505,5645,2860,0.846,0.43,1.666,0.628,1,0.981,1.02,0.978,FALSE,FALSE
Menieres_disease,13,8,5,8532,5665,2867,1.235,0.404,3.78,0.711,1.029,0.995,1.064,0.098,FALSE,FALSE
Menopausal_disorders,450,329,121,8095,5344,2751,0.712,0.575,0.882,0.002,1.029,1.023,1.035,0,TRUE,TRUE
Menstrual_disorders,1087,706,381,7458,4967,2491,1.077,0.942,1.232,0.279,0.983,0.979,0.987,0,FALSE,TRUE
Miscellaneous_mental_health_disorders,297,198,99,8248,5475,2773,0.987,0.772,1.262,0.918,1.003,0.995,1.01,0.466,FALSE,FALSE
Multiple_sclerosis,11,8,3,8534,5665,2869,0.741,0.196,2.793,0.657,0.984,0.95,1.02,0.391,FALSE,FALSE
Myodesopsia_and_other_eye_disorders,105,69,36,8440,5604,2836,1.031,0.687,1.548,0.882,1.028,1.016,1.04,0,FALSE,TRUE
Neoplasms,144,79,65,8401,5594,2807,1.65,1.182,2.303,0.003,1.045,1.034,1.056,0,TRUE,TRUE
