ccs_epichron_label,n_positive_total,n_positive_ctl,n_positive_hiv,n_negative_total,n_negative_ctl,n_negative_hiv,OR,lb,ub,p_value,p_05
Acquired_foot_deformities,31,23,8,3071,2039,1032,0.687,0.306,1.542,0.363,FALSE
Acute_cerebrovascular_disease,5,1,4,3097,2061,1036,7.958,0.888,71.284,0.064,FALSE
Adictions,44,10,34,3058,2052,1006,6.935,3.413,14.093,0,TRUE
Adjustment_disorders,53,30,23,3049,2032,1017,1.532,0.885,2.651,0.127,FALSE
Alcohol-related_disorders,31,10,21,3071,2052,1019,4.229,1.984,9.013,0,TRUE
Allergic_rhinitis,450,318,132,2652,1744,908,0.797,0.641,0.992,0.042,TRUE
Anxiety_disorders,844,563,281,2258,1499,759,0.986,0.834,1.166,0.867,FALSE
Asthma,230,160,70,2872,1902,970,0.858,0.641,1.148,0.302,FALSE
Atopic_dermatitis,163,125,38,2939,1937,1002,0.588,0.406,0.852,0.005,TRUE
Attention-deficit__conduct__and_disruptive_behavior_disorders,20,11,9,3082,2051,1031,1.628,0.672,3.94,0.28,FALSE
Cardiac_and_circulatory_congenital_anomalies,9,6,3,3093,2056,1037,0.991,0.247,3.971,0.99,FALSE
Cardiac_dysrhythmias,36,28,8,3066,2034,1032,0.563,0.256,1.24,0.154,FALSE
Cataract,3,2,1,3099,2060,1039,0.991,0.09,10.942,0.994,FALSE
Chronic_kidney_disease,3,1,2,3099,2061,1038,3.971,0.36,43.844,0.26,FALSE
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,11,6,5,3091,2056,1035,1.655,0.504,5.437,0.406,FALSE
Chronic_ulcer_of_skin,7,4,3,3095,2058,1037,1.488,0.333,6.663,0.603,FALSE
Coagulation_and_hemorrhagic_disorders,27,14,13,3075,2048,1027,1.852,0.867,3.954,0.111,FALSE
Congestive_heart_failure__nonhypertensive,11,2,9,3091,2060,1031,8.991,1.939,41.684,0.005,TRUE
Cryptorchidism_and_other_genitourinary_congenital_anomalies,9,3,6,3093,2059,1034,3.983,0.994,15.956,0.051,FALSE
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,30,15,15,3072,2047,1025,1.997,0.973,4.101,0.06,FALSE
Depression_and_Mood_disorders,340,194,146,2762,1868,894,1.572,1.251,1.977,0,TRUE
Developmental_disorders,6,4,2,3096,2058,1038,0.991,0.181,5.421,0.992,FALSE
Diabetes,33,21,12,3069,2041,1028,1.135,0.556,2.315,0.729,FALSE
Diseases_of_white_blood_cells,59,31,28,3043,2031,1012,1.813,1.081,3.038,0.024,TRUE
Disorders_of_lipid_metabolism,225,154,71,2877,1908,969,0.908,0.678,1.215,0.516,FALSE
Disorders_usually_diagnosed_in_infancy__childhood__or_adolescence,22,18,4,3080,2044,1036,0.438,0.148,1.299,0.137,FALSE
Diverticulosis_and_diverticulitis,3,2,1,3099,2060,1039,0.991,0.09,10.942,0.994,FALSE
Dyspareunia,77,54,23,3025,2008,1017,0.841,0.513,1.378,0.492,FALSE
Eating_disorders,30,11,19,3072,2051,1021,3.47,1.645,7.319,0.001,TRUE
Endometriosis,22,9,13,3080,2053,1027,2.887,1.23,6.777,0.015,TRUE
Epilepsy__convulsions,29,14,15,3073,2048,1025,2.141,1.029,4.452,0.042,TRUE
Escleritis,6,3,3,3096,2059,1037,1.986,0.4,9.854,0.401,FALSE
Esophageal_disorders,82,58,24,3020,2004,1016,0.816,0.504,1.321,0.408,FALSE
Female_infertility,95,60,35,3007,2002,1005,1.162,0.761,1.775,0.487,FALSE
Glaucoma,13,8,5,3089,2054,1035,1.24,0.405,3.801,0.706,FALSE
HIV-related_disease,16,7,9,3086,2055,1031,2.563,0.952,6.901,0.063,FALSE
Headache__including_migraine,756,498,258,2346,1564,782,1.036,0.871,1.232,0.688,FALSE
Hearing_loss_and_other_ear_and_sense_organ_disorders,108,66,42,2994,1996,998,1.273,0.858,1.888,0.231,FALSE
Heart_valve_disorders,3,1,2,3099,2061,1038,3.971,0.36,43.844,0.26,FALSE
Hepatic_steatosis_and_other_liver_diseases,8,2,6,3094,2060,1034,5.977,1.204,29.66,0.029,TRUE
Hepatitis,93,16,77,3009,2046,963,10.225,5.935,17.614,0,TRUE
Hyperparathyroidism_and_other_endocrine_disorders,9,5,4,3093,2057,1036,1.588,0.426,5.927,0.491,FALSE
Hypertension,151,80,71,2951,1982,969,1.815,1.307,2.522,0,TRUE
Hypertension_complicating_pregnancy__childbirth_and_the_puerperium,16,7,9,3086,2055,1031,2.563,0.952,6.901,0.063,FALSE
Irritable_bowel_and_other_GI_disorders,54,39,15,3048,2023,1025,0.759,0.417,1.383,0.368,FALSE
Ischemic_heart_disease,3,1,2,3099,2061,1038,3.971,0.36,43.844,0.26,FALSE
Joint_disorders_and_dislocations__trauma-related,29,18,11,3073,2044,1029,1.214,0.571,2.58,0.614,FALSE
Menieres_disease,4,2,2,3098,2060,1038,1.985,0.279,14.107,0.493,FALSE
Menopausal_disorders,17,12,5,3085,2050,1035,0.825,0.29,2.349,0.719,FALSE
Menstrual_disorders,1184,793,391,1918,1269,649,0.964,0.827,1.124,0.641,FALSE
Miscellaneous_mental_health_disorders,209,137,72,2893,1925,968,1.045,0.778,1.405,0.77,FALSE
Multiple_sclerosis,7,5,2,3095,2057,1038,0.793,0.154,4.093,0.781,FALSE
Myodesopsia_and_other_eye_disorders,39,26,13,3063,2036,1027,0.991,0.507,1.937,0.979,FALSE
Neoplasms,22,7,15,3080,2055,1025,4.296,1.746,10.57,0.002,TRUE
Nephritis__nephrosis__renal_sclerosis,2,1,1,3100,2061,1039,1.984,0.124,31.745,0.628,FALSE
Neuropathy_and_other_nervous_system_disorders,96,68,28,3006,1994,1012,0.811,0.519,1.268,0.359,FALSE
