"",ML8,ML6,ML3,ML7,ML2,ML10,ML11,ML4,ML1,ML5,ML9,ML12
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,1.001,0,0,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.996,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0.447,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0.984,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0.98,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0.764,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0.484,0,0,0,0,0,0
Diabetes,0.482,0,0,0,0,0.384,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0.64,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0.51,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,1.01,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0.979,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0.978,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0.696,0
Asthma,0,0,0,0,0,0,0,0,0,0,0.468,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0.354,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0.363
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0.331
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0.303
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.526,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Obesity,0.557,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0,0
