"",ML5,ML1,ML4,ML7,ML6,ML3,ML2,ML8
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,1.004,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,1.005,0,0,0,0,0
Headache__including_migraine,0,0,0.451,0,0,0,0,0
Allergic_rhinitis,0,0,0,0.57,0,0,0,0
Asthma,0,0,0,0.519,0,0,0,0
Anxiety_disorders,0,0,0,0.404,0,0,0,0
Esophageal_disorders,0,0,0,0.355,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0.792,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0.409,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0.994,0,0
Gout,0,0,0,0,0,0,0.985,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0.726
Other_male_genital_disorders,0,0,0,0,0,0,0,0.525
Diabetes,0.581,0,0,0,0,0,0,0.34
Disorders_of_lipid_metabolism,0.398,0,0,0,0,0,0,0
Glaucoma,0.441,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0
Hypertension,0.63,0,0,0,0,0,0,0
Ischemic_heart_disease,0.366,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0
Obesity,0.556,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0
