"",ML3,ML4,ML1,ML2
Diabetes,0,0.665,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0.566,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.408,0,0
Hypertension,0,0.406,0.463,0
Obesity,0,0.323,0,0
Congestive_heart_failure__nonhypertensive,0,0,1.003,0
Ischemic_heart_disease,0,0,0.374,0
Coagulation_and_hemorrhagic_disorders,0,0,0.347,0
Adictions,0,0,0,0.99
Hepatitis,0,0,0,0.509
Alcohol-related_disorders,0,0,0,0
Allergic_rhinitis,0.562,0,0,0
Anxiety_disorders,0.544,0,0,0
Asthma,0.386,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0
Depression_and_Mood_disorders,0.403,0,0,0
Disorders_of_lipid_metabolism,0.394,0,0,0
Esophageal_disorders,0.354,0,0,0
Headache__including_migraine,0.388,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.428,0,0,0
Neoplasms,0,0,0,0
Osteoarthritis,0,0,0,0
Other_male_genital_disorders,0.425,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Sexual_disorders,0.334,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.441,0,0,0
Thyroid_disorders,0,0,0,0
Vision_defects,0.341,0,0,0
