"",ML5,ML3,ML4,ML2,ML1,ML6
Congestive_heart_failure__nonhypertensive,0,1.007,0,0,0,0
Hypertension,0,0.518,0,0,0,0.314
Ischemic_heart_disease,0,0.412,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0.381,0,0,0,0
Adictions,0,0,0.98,0,0,0
Hepatitis,0,0,0.514,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.999,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.373,0,0,0.321,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,1.005,0
Other_male_genital_disorders,0,0,0,0,0.328,0
Diabetes,0,0,0,0,0,0.65
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0.512
Alcohol-related_disorders,0,0,0,0,0,0
Allergic_rhinitis,0.459,0,0,0,0,0
Anxiety_disorders,0.44,0,0,0,0,0
Asthma,0.53,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0
Depression_and_Mood_disorders,0.373,0,0,0,0,0
Disorders_of_lipid_metabolism,0.331,0,0,0,0,0
Esophageal_disorders,0.441,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Neoplasms,0.33,0,0,0,0,0
Obesity,0,0,0,0,0,0
Osteoarthritis,0.349,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0
