"",ML5,ML3,ML4,ML2,ML1
Diabetes,0,0.872,0,0,0
Obesity,0,0.451,0,0,0
Other_male_genital_disorders,0,0.383,0,0,0
Hypertension,0.303,0.382,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.351,0,0,0
Obstructive_Sleep_apnea,0,0.331,0,0,0
Disorders_of_lipid_metabolism,0.316,0.313,0,0,0
Ischemic_heart_disease,0.326,0.312,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.763,0,0
Headache__including_migraine,0,0,0.649,0,0
Gout,0,0,0,0.994,0
Alcohol-related_disorders,0,0,0,0,0.999
Allergic_rhinitis,0.437,0,0,0,0
Anxiety_disorders,0.414,0,0,0,0
Asthma,0.402,0,0,0,0
Cardiac_dysrhythmias,0.307,0,0,0,0
Depression_and_Mood_disorders,0.363,0,0,0,0
Esophageal_disorders,0.302,0,0,0,0
Glaucoma,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0
Hyperplasia_of_prostate,0.369,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.414,0,0,0,0
Osteoarthritis,0.426,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0
Sexual_disorders,0.306,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.558,0,0,0,0
Thyroid_disorders,0.347,0,0,0,0
Vision_defects,0,0,0,0,0
