"",ML1,ML3,ML2
Depression_and_Mood_disorders,0,0.671,0
Alcohol-related_disorders,0,0.54,0
Anxiety_disorders,0,0.423,0
Sexual_disorders,0,0.347,0
Allergic_rhinitis,0,0,0.628
Asthma,0,0,0.502
Esophageal_disorders,0,0,0.316
Diabetes,0.776,0,0
Disorders_of_lipid_metabolism,0.523,0,0
Headache__including_migraine,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0
Hypertension,0.63,0,0
Obesity,0.64,0,0
Osteoarthritis,0,0,0
Other_male_genital_disorders,0.354,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0
Thyroid_disorders,0,0,0
Vision_defects,0,0,0
