"",ML2,ML8,ML7,ML4,ML6,ML3,ML1,ML10,ML5,ML11,ML9
Adictions,0,0.867,0,0,0,0,0,0,0,0,0
Hepatitis,0,0.631,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0,0.38,0,0,0,0,0,0.327,0,0,0
Depression_and_Mood_disorders,0,0.342,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0.941,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0.34,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0.994,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0.966,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0.976,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0.984,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0.699,0,0,0
Asthma,0,0,0,0,0,0,0,0.391,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0.977,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0.516,0
Vision_defects,0,0,0,0,0,0,0,0,0,0.434,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0.345,0
Obesity,0,0,0,0,0,0,0,0,0,0.32,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0.535
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0.328
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.971,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0.557,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0
