"",ML2,ML4,ML1,ML3
Alcohol-related_disorders,0,0.608,0,0
Depression_and_Mood_disorders,0,0.588,0,0
Anxiety_disorders,0,0.39,0,0.333
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,1.003,0
Allergic_rhinitis,0,0,0,0.624
Asthma,0,0,0,0.519
Esophageal_disorders,0,0,0,0.331
Diabetes,0.784,0,0,0
Disorders_of_lipid_metabolism,0.509,0,0,0
Headache__including_migraine,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0
Hypertension,0.623,0,0,0
Obesity,0.635,0,0,0
Osteoarthritis,0,0,0,0
Other_male_genital_disorders,0.354,0,0,0
Sexual_disorders,0,0,0,0
Thyroid_disorders,0,0,0,0
Vision_defects,0,0,0,0
