"",ML2,ML10,ML9,ML4,ML8,ML6,ML13,ML11,ML3,ML5,ML1,ML7,ML12,ML14
Obesity,0,0.548,0,0,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0.503,0,0,0,0,0,0,0,0,0,0,0,0
Diabetes,0,0.485,0,0,0,0,0.391,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0.979,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0.461,0,0,0,0,0,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0.985,0,0,0,0,0,0,0,0,0,0
Gout,0,0,0,0,0.976,0,0,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,1.01,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0.735,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0.493,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0.733,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0.444,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0.371,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,1.008,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0,0,0,0.969,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0.966,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0.996,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.718,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0.505,0
Anxiety_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.342
Glaucoma,0,0,0,0,0,0,0,0,0,0,0,0,0,0.323
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0.309
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,1.003,0,0,0,0,0,0,0,0,0,0,0,0,0
