"",ML1,ML4,ML2,ML3,ML6,ML5
Depression_and_Mood_disorders,0,0.649,0,0,0,0
Alcohol-related_disorders,0,0.552,0,0,0,0
Anxiety_disorders,0,0.362,0,0,0,0
Allergic_rhinitis,0,0,0.862,0,0,0
Asthma,0,0,0.328,0,0.301,0
Esophageal_disorders,0,0,0.307,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0.874,0,0
Vision_defects,0,0,0,0,0.451,0
Thyroid_disorders,0,0,0,0,0,0.422
Diabetes,0.79,0,0,0,0,0
Disorders_of_lipid_metabolism,0.477,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0
Hypertension,0.583,0,0,0,0,0
Obesity,0.632,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0
Other_male_genital_disorders,0.342,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0
