"",ML6,ML7,ML8,ML3,ML2,ML4,ML1,ML9,ML5,ML10
Adictions,0,0.911,0,0,0,0,0,0,0,0
Hepatitis,0,0.56,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0.349,0,0,0,0,0,0.325,0,0
Anxiety_disorders,0,0.342,0.372,0,0,0,0,0,0,0
Allergic_rhinitis,0,0,0.553,0,0,0,0,0,0,0
Asthma,0,0,0.512,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0.375,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,1.005,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0,0.32,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0.982,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0.989,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0,0,0.981,0,0,0
Diabetes,0,0,0,0,0,0,0,0.529,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0.353,0,0
Obesity,0,0,0,0,0,0,0,0.341,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0.984,0
Vision_defects,0,0,0,0,0,0,0,0,0,0.487
Osteoarthritis,0,0,0,0,0,0,0,0,0,0.456
Alcohol-related_disorders,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0.978,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0
Hypertension,0.571,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.307,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0
