"",ML4,ML9,ML10,ML5,ML8,ML7,ML6,ML1,ML3,ML2,ML11
Diabetes,0,0.578,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.396,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0,0.377,0,0,0.336,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0.312,0,0,0,0.3,0,0,0,0,0
Allergic_rhinitis,0,0,0.682,0,0,0,0,0,0,0,0
Anxiety_disorders,0.323,0,0.402,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0.338,0,0,0,0,0,0,0,0
Asthma,0,0,0.309,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0,0.305,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,0,0.989,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0.348,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0,0.943,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,1.002,0,0,0,0,0
Gout,0,0,0,0,0,0,0.991,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0.319,0,0,0,0.39
Hypertension,0,0,0,0,0,0,0,0.873,0,0,0
Chronic_kidney_disease,0,0,0,0,0,0,0,0.415,0,0,0.445
Thyroid_disorders,0,0,0,0,0,0,0,0,0.989,0,0
Schizophrenia_and_other_psychotic_disorders,0,0,0,0,0,0,0,0,0,0.933,0
Obesity,0,0,0,0,0,0,0,0,0,0.377,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0,0,0,0.433
Neoplasms,0,0,0,0,0,0,0,0,0,0,0.344
Acute_cerebrovascular_disease,0,0,0,0,0,0,0,0,0,0,0
Adictions,0.988,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0,0,0,0,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0,0
Hepatitis,0.551,0,0,0,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0,0
