"",ML7,ML6,ML3,ML2,ML4,ML1,ML9,ML8,ML5,ML10
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,1.007,0,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,1.006,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0.451,0,0,0,0,0,0,0
Gout,0,0,0,0.991,0,0,0,0,0,0
Cardiac_dysrhythmias,0,0,0,0,0.997,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,1.004,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0,0,0,0.743,0,0,0
Other_male_genital_disorders,0,0,0,0,0,0,0.542,0,0,0
Diabetes,0.536,0,0,0,0,0,0.331,0,0,0
Allergic_rhinitis,0,0,0,0,0,0,0,0.561,0,0
Asthma,0,0,0,0,0,0,0,0.538,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0.376,0,0
Anxiety_disorders,0,0,0,0,0,0,0,0.343,0,0.312
Hyperplasia_of_prostate,0,0,0,0,0,0,0,0,1.012,0
Thyroid_disorders,0,0,0,0,0,0,0,0,0,0.307
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0
Glaucoma,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0
Hypertension,0.481,0,0,0,0,0,0,0,0,0
Ischemic_heart_disease,0.319,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0,0,0,0,0,0,0
Obesity,0.66,0,0,0,0,0,0,0,0,0
Obstructive_Sleep_apnea,0.445,0,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0,0,0
