"",ML5,ML6,ML2,ML7,ML4,ML3,ML1
Allergic_rhinitis,0,0.472,0,0,0,0,0
Anxiety_disorders,0,0.43,0,0,0,0,0
Asthma,0,0.429,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.385,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0.363,0,0,0,0,0
Osteoarthritis,0,0.31,0,0,0,0,0
Depression_and_Mood_disorders,0,0.307,0,0,0.3,0,0
Esophageal_disorders,0,0.301,0,0,0,0,0
Miscellaneous_mental_health_disorders,0,0,1.006,0,0,0,0
Headache__including_migraine,0,0,0.464,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0,0,0,0.722,0,0,0
Other_male_genital_disorders,0,0,0,0.558,0,0,0
Diabetes,0.6,0,0,0.331,0,0,0
Alcohol-related_disorders,0,0,0,0,1.005,0,0
Cardiac_dysrhythmias,0,0,0,0,0,0.995,0
Gout,0,0,0,0,0,0,0.99
Disorders_of_lipid_metabolism,0.428,0,0,0,0,0,0
Glaucoma,0.461,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0,0,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0
Hyperplasia_of_prostate,0,0,0,0,0,0,0
Hypertension,0.616,0,0,0,0,0,0
Ischemic_heart_disease,0.424,0,0,0,0,0,0
Obesity,0.546,0,0,0,0,0,0
Obstructive_Sleep_apnea,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0
