"",ML3,ML11,ML7,ML2,ML9,ML1,ML6,ML5,ML8,ML4,ML10,ML13,ML12
Inflammatory_conditions_of_male_genital_organs,0,0.646,0,0,0,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0,0.502,0,0,0,0,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0,0.408,0,0,0,0,0,0,0,0,0,0,0
Vision_defects,0,0.391,0,0,0,0,0,0,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0.947,0,0,0,0,0,0,0,0,0,0
Hypertension,0,0,0.388,0,0,0,0,0,0,0,0,0,0.571
Ischemic_heart_disease,0,0,0.306,0,0,0,0,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0,0,0.964,0,0,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0,0,0,0,0.974,0,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0.985,0,0,0,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0,0,0.992,0,0,0,0,0,0
Thyroid_disorders,0,0,0,0,0,0,0,0.992,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0,0.972,0,0,0,0
Asthma,0,0,0,0,0,0,0,0,0,0.986,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0,0,0,0,0,0,0,0.795,0,0
Depression_and_Mood_disorders,0,0,0,0,0,0,0,0,0,0,0,0.495,0
Diabetes,0,0,0,0,0,0,0,0,0,0,0,0.363,0
Obesity,0,0,0,0,0,0,0,0,0,0,0,0.35,0
Allergic_rhinitis,0,0,0,0,0,0,0,0,0,0,0,0,0.412
Adictions,0.987,0,0,0,0,0,0,0,0,0,0,0,0
Anxiety_disorders,0.348,0,0,0,0,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0,0,0,0,0,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
Headache__including_migraine,0,0,0,0,0,0,0,0,0,0,0,0,0
Hepatitis,0.518,0,0,0,0,0,0,0,0,0,0,0,0
Neoplasms,0,0,0,0,0,0,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0,0,0,0,0,0
Sexual_disorders,0,0,0,0,0,0,0,0,0,0,0,0,0
