"",ML3,ML2,ML1
Hypertension,0,0.746,0
Chronic_kidney_disease,0,0.744,0
Congestive_heart_failure__nonhypertensive,0,0.741,0
Diabetes,0,0.527,0
Ischemic_heart_disease,0,0.462,0
Gout,0,0.44,0
Coagulation_and_hemorrhagic_disorders,0,0.421,0
Obesity,0.343,0.328,0
Adictions,0,0,0.995
Hepatitis,0,0,0.496
Acute_cerebrovascular_disease,0,0,0
Alcohol-related_disorders,0,0,0
Allergic_rhinitis,0.407,0,0
Anxiety_disorders,0.436,0,0
Asthma,0.39,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0.329,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.414,0,0
Depression_and_Mood_disorders,0.493,0,0
Disorders_of_lipid_metabolism,0.425,0,0
Epilepsy__convulsions,0,0,0
Esophageal_disorders,0.374,0,0
Headache__including_migraine,0.391,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.363,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.427,0,0
Miscellaneous_mental_health_disorders,0.498,0,0
Neoplasms,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.378,0,0
Osteoarthritis,0,0,0
Other_male_genital_disorders,0.429,0,0
Psoriasis_and_other_inflammatory,0,0,0
Schizophrenia_and_other_psychotic_disorders,0.353,0,0
Sexual_disorders,0.37,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.395,0,0
Thyroid_disorders,0.356,0,0
Vision_defects,0,0,0
