"",ML7,ML8,ML6,ML2,ML5,ML4,ML1,ML3
Chronic_kidney_disease,0,0.602,0,0,0,0,0,0
Diabetes,0,0.529,0,0,0,0,0,0
Hypertension,0,0.504,0,0.353,0,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0.391,0,0,0,0,0,0
Acute_cerebrovascular_disease,0,0.38,0,0,0,0,0,0
Obesity,0,0.359,0,0,0,0,0.383,0
Gout,0,0.318,0,0,0,0,0,0
Neuropathy_and_other_nervous_system_disorders,0,0.313,0,0,0,0,0,0
Adictions,0,0,0.986,0,0,0,0,0
Hepatitis,0,0,0.516,0,0,0,0,0
Congestive_heart_failure__nonhypertensive,0,0,0,0.976,0,0,0,0
Ischemic_heart_disease,0,0,0,0.304,0,0,0,0
Alcohol-related_disorders,0,0,0,0,0.998,0,0,0
Thyroid_disorders,0,0,0,0,0,1.001,0,0
Schizophrenia_and_other_psychotic_disorders,0,0,0,0,0,0,0.939,0
Neoplasms,0,0,0,0,0,0,0,0.999
Allergic_rhinitis,0.511,0,0,0,0,0,0,0
Anxiety_disorders,0.425,0,0,0,0,0,0,0
Asthma,0,0,0,0,0,0,0,0
Chronic_obstructive_pulmonary_disease_and_bronchiectasis,0,0,0,0,0,0,0,0
Coagulation_and_hemorrhagic_disorders,0,0,0,0,0,0,0,0
Delirium__dementia__and_amnestic_and_other_cognitive_disorders,0.323,0,0,0,0,0,0,0
Depression_and_Mood_disorders,0.416,0,0,0,0,0,0,0
Disorders_of_lipid_metabolism,0.367,0,0,0,0,0,0,0
Epilepsy__convulsions,0,0,0,0,0,0,0,0
Esophageal_disorders,0,0,0,0,0,0,0,0
Headache__including_migraine,0.434,0,0,0,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.305,0,0,0,0,0,0,0
Inflammatory_conditions_of_male_genital_organs,0.458,0,0,0,0,0,0,0
Miscellaneous_mental_health_disorders,0.461,0,0,0,0,0,0,0
Osteoarthritis,0,0,0,0,0,0,0,0
Other_male_genital_disorders,0.434,0,0,0,0,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0,0,0,0,0
Sexual_disorders,0.33,0,0,0,0,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.42,0,0,0,0,0,0,0
Vision_defects,0,0,0,0,0,0,0,0
