"",ML4,ML2,ML1,ML3
Diabetes,0,0.884,0,0
Obesity,0,0.426,0,0
Other_male_genital_disorders,0,0.362,0,0
Inflammatory_conditions_of_male_genital_organs,0,0.356,0,0
Hypertension,0.304,0.345,0,0
Obstructive_Sleep_apnea,0,0.31,0,0
Gout,0,0,0.996,0
Miscellaneous_mental_health_disorders,0,0,0,0.757
Headache__including_migraine,0,0,0,0.636
Alcohol-related_disorders,0,0,0,0
Allergic_rhinitis,0.385,0,0,0
Anxiety_disorders,0.461,0,0,0
Asthma,0.39,0,0,0
Cardiac_dysrhythmias,0.325,0,0,0
Depression_and_Mood_disorders,0.465,0,0,0
Disorders_of_lipid_metabolism,0.339,0,0,0
Esophageal_disorders,0.311,0,0,0
Glaucoma,0,0,0,0
Hearing_loss_and_other_ear_and_sense_organ_disorders,0.339,0,0,0
Hepatic_steatosis_and_other_liver_diseases,0,0,0,0
Hyperplasia_of_prostate,0.419,0,0,0
Ischemic_heart_disease,0.335,0,0,0
Neuropathy_and_other_nervous_system_disorders,0.442,0,0,0
Osteoarthritis,0.471,0,0,0
Psoriasis_and_other_inflammatory,0,0,0,0
Sexual_disorders,0.36,0,0,0
Spondylosis__intervertebral_disc_disorders__other_back_problems,0.562,0,0,0
Thyroid_disorders,0.36,0,0,0
Vision_defects,0,0,0,0
